file,locatie,external_id,x_coord,y_coord,ground_elev,top_filter,bottom_filter
B40D2288001_1039_40D-2288001.csv,B40D2288,40D-2288001,190797.76,434380.6,969.0,792.0,546.0
B40D2289001_1039_40D-2289001.csv,B40D2289,40D-2289001,192472.47,433259.87,1015.0,932.0,698.0
B40D2289002_1039_40D-2289002.csv,B40D2289,40D-2289002,192472.47,433259.87,1015.0,581.0,349.0
B40D2290001_1039_40D-2290001.csv,B40D2290,40D-2290001,193056.24,432127.83,1025.0,1077.0,853.0
B40D2290002_1039_40D-2290002.csv,B40D2290,40D-2290002,193056.24,432127.83,1025.0,839.0,611.0
B40D2291001_1039_40D-2291001.csv,B40D2291,40D-2291001,194603.19,432001.88,1083.0,925.0,641.0
B40D2292001_1039_40D-2292001.csv,B40D2292,40D-2292001,194926.43,432676.67,1063.0,932.0,694.0
B40D2292002_1039_40D-2292002.csv,B40D2292,40D-2292002,194926.43,432676.67,1063.0,432.0,194.0
B40D2293001_1039_40D-2293001.csv,B40D2293,40D-2293001,196399.24,432415.12,1152.0,919.0,635.0
B40D2294001_1039_40D-2294001.csv,B40D2294,40D-2294001,197069.4705,433235.8065,1144.0,1043.0,745.0
B40D2294002_1039_40D-2294002.csv,B40D2294,40D-2294002,197069.4705,433235.8065,1144.0,643.0,345.0
B40D2295001_1039_40D-2295001.csv,B40D2295,40D-2295001,197721.42,433712.05,1149.0,971.0,727.0
B40D2295002_1039_40D-2295002.csv,B40D2295,40D-2295002,197721.42,433712.05,1149.0,626.0,392.0
B40D2296001_1039_40D-2296001.csv,B40D2296,40D-2296001,190226.56,434293.0,1047.0,936.0,698.0
B40D2296002_1039_40D-2296002.csv,B40D2296,40D-2296002,190226.56,434293.0,1047.0,615.0,379.0
B40D2297001_1039_40D-2297001.csv,B40D2297,40D-2297001,196861.15,434020.41,1137.0,1037.0,937.0
B40D2297002_1039_40D-2297002.csv,B40D2297,40D-2297002,196861.15,434020.41,1137.0,737.0,637.0
B40D2298001_1039_40D-2298001.csv,B40D2298,40D-2298001,190743.78,434015.66,971.0,945.0,697.0
