LOCATIE gegevens
NITG-nr	X-coord	Y-coord	Coordinaat systeem	Kaartblad	Bepaling locatie	Maaiveldhoogte (m tov NAP)	Bepaling maaiveldhoogte	OLGA-nr	RIVM-nr	Aantal analyses	Meetnet	Indeling	
B40A0449	184000	439750	Rijksdriehoeksmeting	40A		8.0		40AA3449	238	44			

KWALITEIT gegevens VLOEIBAAR
NITG-nr	Monster datum	Monster-nr	Monster apparatuur	Mengmonster	Bovenkant monster (cm tov MV)	Onderkant monster (cm tov MV)	Analyse datum	Ag (mg/m3)	Al (mg/m3)	As (mg/m3)	B (mg/m3)	Ba (mg/m3)	Br- (g/m3)	Ca++ (g/m3)	Cd (mg/m3)	Cl- (g/m3)	Co (mg/m3)	Cr (mg/m3)	Cu (mg/m3)	DOC_C (g/m3)	EC(5)_veld (mS/m)	EC25C (mS/m)	EOX (umol/m3)	F- (g/m3)	Fe (g/m3)	H+ (-)	H+(5)_veld (-)	HCO3- (g/m3)	HCO3-_veld (g/m3)	K+ (g/m3)	KMnO4_O (gO/m3)	Mg++ (g/m3)	Mn (g/m3)	NH4+_N (g/m3)	NO3-_N (g/m3)	Na+ (g/m3)	Ni (mg/m3)	P-tot_P (g/m3)	PO4---_P (g/m3)	Pb (mg/m3)	SO4-- (g/m3)	Sb (mg/m3)	SiO2_Si (g/m3)	Sr (mg/m3)	T(5)_veld (C)	TOC_C (g/m3)	Tg (TU)	V (mg/m3)	VOX (umol/m3)	Zn (mg/m3)	
B40A0449	18-08-1992	C1992-08-1086		nee	2300.0	2500.0	18-08-1992		<13.49	0.55		6.5		35.33	<0.04	7.66			<0.64	<0.2		23.16			0.01	7.81		125.7		0.4		3.47	0.2	0.09	0.04	6.44	<0.88			<0.08	2.4			98.7						<6.54	
B40A0449	18-08-1992	C1992-08-1085		nee	780.0	980.0	18-08-1992		<13.49	1.2		32.89		81.24	<0.04	13.86			<0.64	1.02		48.14			1.12	7.6		244.69		0.92		7.61	0.4	0.03	0.03	9.04	<0.88			<0.08	27.86			231.75						<6.54	
B40A0449	14-06-1991	C1991-06-1173		nee	2300.0	2500.0	14-06-1991		<18.83	0.72		5.56		34.94	<0.11	6.29		<0.52	<0.63	0.3		22.82			0.09	7.68		124.44		0.51		3.34	0.21	0.05	0.41	6.29	<0.59	<0.06		<2.07	2.03			98.25						<6.54	
B40A0449	14-06-1991	C1991-06-1172		nee	780.0	980.0	14-06-1991		58.27	1.44		33.22		81.19	<0.11	9.5		<0.52	<0.63	1.12		47.34			1.61	7.37		220.82		0.96		7.47	0.45	<0.01	6.29	8.94	<0.59	<0.06		<2.07	17.88			227.81						<6.54	
B40A0449	21-06-1990	C1990-06-1210		nee	2300.0	2500.0	21-06-1990		<18.83	0.53		4.88		35.32	<0.11	7.31		<0.52	<0.63	1.32		23.05			<0.02	7.91		122		0.46		3.3	0.19	0.08	<0.28	6.22	<0.59	<0.06		<2.07	2.58			97.65						9.79	
B40A0449	21-06-1990	C1990-06-1209		nee	780.0	980.0	21-06-1990		<18.83	1.34		34.35		86.67	<0.11	13.03		0.57	<0.63	2.3		50.85		0.03	1.23	7.72		268.4		1.02		7.82	0.43	0.04	<0.28	10.06	<0.59	<0.06		<2.07	26.84			245.31					1.97	<6.54	
B40A0449	28-07-1989	C1989-07-1174		nee	2300.0	2500.0	28-07-1989							35.3		7.14						22.82			0.02	7.93		121		0.38		3.36		0.07	<0.28	6.36		<0.06	0.02		2.9										
B40A0449	28-07-1989	C1989-07-1173		nee	780.0	980.0	28-07-1989							73		12.5						43.62			1.07	7.71		224		0.83		6.69		<0.01	<0.28	9.74		<0.06	0.01		21.4										
B40A0449	23-06-1988	C1988-06-1281		nee	780.0	980.0	23-06-1988							74.7		14.2						44.29				7.77		227		0.9		6.78		0.03	<0.28	9.93		0.07			21.1										
B40A0449	23-06-1988	C1988-06-1282		nee	2300.0	2500.0	23-06-1988							34.7		7.77						22.82				7.86		124		0.43		3.42		0.07	<0.28	6.47		0.08			2.7										
