LOCATIE gegevens
NITG-nr	X-coord	Y-coord	Coordinaat systeem	Kaartblad	Bepaling locatie	Maaiveldhoogte (m tov NAP)	Bepaling maaiveldhoogte	OLGA-nr	RIVM-nr	Aantal analyses	Meetnet	Indeling	
B40D0124	192192	436788	Rijksdriehoeksmeting	40D	GPS (Global Positioning System)	10.0		40DA3124	239	42			

KWALITEIT gegevens VLOEIBAAR
NITG-nr	Monster datum	Monster-nr	Monster apparatuur	Mengmonster	Bovenkant monster (cm tov MV)	Onderkant monster (cm tov MV)	Analyse datum	111CL3EA (ug/l)	112CL3EA (ug/l)	11DCEa (ug/l)	12CL2PA (ug/l)	12DCEa (ug/l)	2,4-D (ug/l)	24D (ug/l)	24DNP (ug/l)	Abamectine (ug/l)	Al (mg/m3)	Al (ug/l)	As (mg/m3)	As (ug/l)	Atrazine (ug/l)	B (mg/m3)	BAM (2,6-dichloorbenzamide) (ug/l)	Ba (mg/m3)	Bentazon (ug/l)	Broompropylaat (ug/l)	Bupirimaat (ug/l)	Butocarboxim (ug/l)	Butocarboxim-SO (ug/l)	C12DCEe (ug/l)	CH4Cl2 (ug/l)	CL3MA (ug/l)	Ca (mg/l)	Ca++ (g/m3)	Cd (mg/m3)	Cd (ug/l)	Cl- (g/m3)	Cl- (mg/l)	Co (mg/m3)	Cr (mg/m3)	Cr (ug/l)	Cu (mg/m3)	Cu (ug/l)	DCBN (ug/l)	DMST (ug/l)	DNOC (ug/l)	DOC_C (g/m3)	Diazinon (ug/l)	Dichloormethaan (ug/l)	EC(5)_veld (mS/m)	EC-veld (uS/cm)	EC25C (mS/m)	EOX (umol/m3)	Etridiazool (ug/l)	F- (g/m3)	Fe (g/m3)	H+ (-)	H+(5)_veld (-)	HCO3 (mg/l)	HCO3- (g/m3)	HCO3-_veld (g/m3)	HTI (4-hydroxy-2,5,6-trichloorisoftalonitril (ug/l)	Haloxyfop-p-methyl (ug/l)	Hexythiazox (ug/l)	Hg (ug/l)	Imazalil (ug/l)	K (mg/l)	K+ (g/m3)	KMnO4_O (gO/m3)	MCPA (ug/l)	MCPP (ug/l)	Mg (mg/l)	Mg++ (g/m3)	Mn (g/m3)	Mn (ug/l)	NH4 (mgN/l)	NH4+_N (g/m3)	NO2 (mgN/l)	NO3 (mgN/l)	NO3-_N (g/m3)	Na (mg/l)	Na+ (g/m3)	Ni (mg/m3)	Ni (ug/l)	P-tot_P (g/m3)	P-totaal (mg/l)	P-totaal (mgP/l)	PO4---_P (g/m3)	Pb (mg/m3)	Pb (ug/l)	Pencycuron (ug/l)	Pirimifos-methyl (ug/l)	Propiconazool (ug/l)	SO4 (mg/l)	SO4-- (g/m3)	SiO2_Si (g/m3)	Sr (mg/m3)	T(5)_veld (C)	T12CL2EE (ug/l)	T4CEe (ug/l)	T4CMa (ug/l)	TCEe (ug/l)	TEMP-Veld (C)	TOC_C (g/m3)	Terbutylazin (ug/l)	Terbutylazine (ug/l)	Tg (TU)	V (mg/m3)	VOX (umol/m3)	Vinczln (ug/l)	Zn (mg/m3)	Zn (ug/l)	abamectine (ug/l)	aldicarb (ug/l)	aldicarbsulfon (ug/l)	aldicarbsulfoxide (ug/l)	aminomethylfosfonzuur (AMPA) (ug/l)	bupirimaat (ug/l)	carbaryl (ug/l)	carbendazim (ug/l)	carbofuran (ug/l)	chloorprofam (ug/l)	chloridazon (ug/l)	cycloxydim (ug/l)	dichlobenil (ug/l)	diethyltoluamide (ug/l)	dimethoaat (ug/l)	diuron (ug/l)	ethiofencarb (ug/l)	ethofumesaat (ug/l)	etridiazool (ug/l)	fenamifos (ug/l)	fluroxypyr (ug/l)	flutolanil (ug/l)	furalaxyl (ug/l)	glyfosaat (ug/l)	imidacloprid (ug/l)	isoproturon (ug/l)	linuron (ug/l)	metalaxyl (ug/l)	metamitron (ug/l)	metazachloor (ug/l)	methabenzthiazuron (ug/l)	methiocarb (ug/l)	methiocarbsulfon (ug/l)	methomyl (ug/l)	metolachloor (ug/l)	metoxuron (ug/l)	oxamyl (ug/l)	pH-veld (-)	pirimicarb (ug/l)	prochloraz (ug/l)	procymidon (ug/l)	propoxur (ug/l)	propyzamide (ug/l)	prosulfocarb (ug/l)	pyrimethanil (ug/l)	simazine (ug/l)	tebuconazool (ug/l)	tolclofos-methyl (ug/l)	
B40D0124	14-06-1991	C1991-06-1174		nee	800.0	1000.0	14-06-1991										<18.83		0.19					84.93										218.84	<0.11		33.06			<0.52		<0.63					1.63					125.42				0.17	7.3			422.73								0.98					23.43	0.44			<0.01			22.47		24.66	3.46		<0.06				<2.07						202.65		692.98														<6.54																																																		
B40D0124	21-06-1990	C1990-06-1212		nee	2040.0	2240.0	21-06-1990										<18.83		11.56					233.26										210.78	<0.11		45.05			<0.52		<0.63					4.04					118.98				10.96	7.03			442.25								2.86					21.19	0.68			0.44			<0.28		23.02	<0.59		0.1				<2.07						228.05		666.28														<6.54																																																		
B40D0124	21-06-1990	C1990-06-1211		nee	800.0	1000.0	21-06-1990										<18.83		<0.07					86.47										210.66	<0.11		36.96			<0.52		<0.63					3.27					122.03			0.16	<0.02	7.03			408.7								1.15					21.35	0.52			0.02			16.49		24.77	3.52		<0.06				<2.07						212.22		690.85												7.04		<6.54																																																		
B40D0124	31-07-1989	C1989-07-1179		nee	800.0	1000.0	31-07-1989																											182			36.1															105.2				0.06	7.39			381								0.99					20.28				<0.01			4.4		22.76			<0.06			0.01							192																																																																		
B40D0124	31-07-1989	C1989-07-1180		nee	2040.0	2240.0	31-07-1989																											218			42.1															120.34				12.8	7.35			474								2.84					24.17				0.39			<0.28		21.87			0.09										228																																																																		
B40D0124	22-06-1988	C1988-06-1270		nee	800.0	1000.0	22-06-1988																											199			23.1															113.22					7.16			392								0.88					23.91				<0.01			11.5		18.96			<0.06										215																																																																		
B40D0124	22-06-1988	C1988-06-1271		nee	2040.0	2240.0	22-06-1988																											218			44.6															121.47					7.16			478								2.95					24.46				0.41			<0.28		24.7			0.15										212																																																																		
B40D0124	20-08-1987	C1987-08-1112		nee	800.0	1000.0	20-08-1987																											221			33.7										1.17					123.16					7.12			407								0.91					25.1				<0.01			14.4		24.1			0.06										235																																																																		
B40D0124	20-08-1987	C1987-08-1113		nee	2040.0	2240.0	20-08-1987																											216			47.5										1.35					123.16					7.07			483								2.83					23.8				0.4			<0.3		24.5			0.12										207																																																																		
B40D0124	13-08-1986	C1986-08-1066		nee	2040.0	2240.0	13-08-1986																											218			39.8										2.82					120.9					7.34			489								2.97					23.9				0.25			<0.3		25.7			0.17										216																																																																		
B40D0124	13-08-1986	C1986-08-1065		nee	800.0	1000.0	13-08-1986																											162			18.9										1.88					92.09					7.46			299								0.89					17.9				<0.01			11.8		15.9			<0.06										170																																																																		
B40D0124	07-08-1985	C1985-08-1023		nee	800.0	1000.0	07-08-1985																											249			38.7										1.6					140.11					7.18			384								1.02					28				<0.01			25.6		23.7			<0.06										307																																																																		
B40D0124	07-08-1985	C1985-08-1024		nee	2040.0	2240.0	07-08-1985																											210			42.7										1.8					117.51					7.21			465								2.92					23				0.4			<0.3		26.3			<0.06										224																																																																		
B40D0124	19-06-1984	C1984-06-1113		nee	800.0	1000.0	19-06-1984																											250			34															102.82					7.14			213								1	1				27				0.02			3.3		26			<0.01			<0.01							270	4								<0.1																																																									
B40D0124	19-06-1984	C1984-06-1114		nee	2040.0	2240.0	19-06-1984																											210			48															94.92					7.14			272								2.8	2.1				22				0.39			<0.1		30			0.09			<0.01							230	6.4								<0.1																																																									
B40D0124	12-09-1983	C1983-09-1045		nee	2040.0	2240.0	12-09-1983																											220			52															118.64	65				7.13			423								2.9	3.2				16				0.37			0.5		30			0.1			0.01							270	7.8								4			37		<6																																																				
B40D0124	12-09-1983	C1983-09-1044		nee	800.0	1000.0	12-09-1983																											240			36															129.94	55				7.11			429								1	0.8				48				0.01			18		25			0.01			0.01							240	4.2								4			67		10																																																				
B40D0124	09-11-1981	C1981-11-1046		nee	800.0	1000.0	09-11-1981																											240			35															131.07	25				7.3			405								1	0.5				21				0.14			17		23			0.01										290									1					20																																																				
B40D0124	09-11-1981	C1981-11-1047		nee	2040.0	2240.0	09-11-1981																											210			53															127.68	15				7.3			420								3	0.5				18				0.46			<0.1		26			<0.01										220									2					<3																																																				
B40D0124	08-12-1980	C1980-12-1008		nee	2040.0	2240.0	08-12-1980																											195			55															114.12					7.1			415								3	3				19				0.83			<0.1		24			0.11										190									4					<3																																																				
B40D0124	08-12-1980	C1980-12-1007		nee	1200.0	1400.0	08-12-1980																											220			33															118.64					7			419								2	2.5				20				0.45			0.1		20			0.03										300									5					25																																																				
B40D0124	08-12-1980	C1980-12-1006		nee	800.0	1000.0	08-12-1980																											240			37															132.2	5				7.3			335								1	2.5				24				1.5			23		27			0.01										320									6					20																																																				
