LOCATIE gegevens
NITG-nr	X-coord	Y-coord	Coordinaat systeem	Kaartblad	Bepaling locatie	Maaiveldhoogte (m tov NAP)	Bepaling maaiveldhoogte	OLGA-nr	RIVM-nr	Aantal analyses	Meetnet	Indeling	
B40C0494	188585	432499	Rijksdriehoeksmeting	40C		9.73		40CA3494	1059	32			

KWALITEIT gegevens VLOEIBAAR
NITG-nr	Monster datum	Monster-nr	Monster apparatuur	Mengmonster	Bovenkant monster (cm tov MV)	Onderkant monster (cm tov MV)	Analyse datum	111CL3EA (ug/l)	112CL3EA (ug/l)	11DCEa (ug/l)	12CL2PA (ug/l)	12DCEa (ug/l)	2,4-D (ug/l)	24D (ug/l)	24DNP (ug/l)	AL (ug/l)	AS (ug/l)	Abamectine (ug/l)	Al (mg/l)	Al (mg/m3)	Al (ug/l)	As (mg/m3)	As (ug/l)	Atrazine (ug/l)	BAM (2,6-dichloorbenzamide) (ug/l)	Ba (mg/m3)	Ba (ug/l)	Bentazon (ug/l)	Broompropylaat (ug/l)	Bupirimaat (ug/l)	Butocarboxim (ug/l)	Butocarboxim-SO (ug/l)	C-DOC (mg/l)	C-HCO3 (mg/l)	C12DCEe (ug/l)	CA (mg/l)	CD (ug/l)	CH4Cl2 (ug/l)	CL (mg/l)	CL3MA (ug/l)	CR (ug/l)	CU (ug/l)	Ca (g/m3)	Ca (mg/l)	Cd (mg/m3)	Cd (ug/l)	Cl- (g/m3)	Cl- (mg/l)	Co (ug/l)	Cr (mg/m3)	Cr (ug/l)	Cu (mg/m3)	Cu (ug/l)	DCBN (ug/l)	DMST (ug/l)	DNOC (ug/l)	DOC (g/m3)	DOC (mg/l)	Diazinon (ug/l)	Dichloormethaan (ug/l)	EC (mS/m)	EC-5 (mS/m)	EC-veld (uS/cm)	EC-veld_5 (mS/m)	EC25C (uS/cm)	ECLAB (uS/cm)	ECVELD (uS/cm)	EOX (ug/l)	Etridiazool (ug/l)	F- (g/m3)	FE (mg/l)	Fe (g/m3)	Fe (mg/l)	H-3 (TU)	HCO3 (g/m3)	HCO3 (mg/l)	HCO3-Veld (mol/l)	HCO3VELD (mg/l)	HTI (4-hydroxy-2,5,6-trichloorisoftalonitril (ug/l)	Haloxyfop-p-methyl (ug/l)	Hexythiazox (ug/l)	Hg (ug/l)	Imazalil (ug/l)	K (g/m3)	K (mg/l)	MCPA (ug/l)	MCPP (ug/l)	MG (mg/l)	MN (mg/l)	Mg (g/m3)	Mg (mg/l)	Mn (g/m3)	Mn (mg/l)	Mn (ug/l)	Mo (ug/l)	NA (mg/l)	NH4 (g/m3)	NH4 (gN/m3)	NH4 (mg/l)	NH4 (mgN/l)	NI (ug/l)	NO2 (mgN/l)	NO3 (g/m3)	NO3 (gN/m3)	NO3 (mg/l)	NO3 (mgN/l)	NO3+NO2 (mgN/l)	Na (g/m3)	Na (mg/l)	Ni (mg/m3)	Ni (ug/l)	O-PO4 (gP/m3)	O-PO4 (mg/l)	P (mg/l)	P (ug/l)	P-totaal (mg/l)	P-totaal (mgP/l)	PHLAB (-)	PHVELD (-)	PO4 (g/m3)	Pb (mg/m3)	Pb (ug/l)	Pencycuron (ug/l)	Pirimifos-methyl (ug/l)	Propiconazool (ug/l)	Ptot (g/m3)	S (mg/l)	SE (ug/l)	SO4 (g/m3)	SO4 (mg/l)	Se (ug/l)	Sr (mg/m3)	T-5 (C)	T-PO4 (gP/m3)	T-PO4 (mg/l)	T12CL2EE (ug/l)	T4CEe (ug/l)	T4CMa (ug/l)	TCEe (ug/l)	TEMP-V (C)	TEMP-Veld (C)	TEMPVELD (C)	TOTH (mmol/l)	TOTP (mg/l)	T_5 (C)	Terbutylazin (ug/l)	Terbutylazine (ug/l)	Tg (TU)	V (ug/l)	VOX (umol/m3)	Vinczln (ug/l)	ZN (ug/l)	Zn (mg/m3)	Zn (ug/l)	abamectine (ug/l)	aldicarb (ug/l)	aldicarbsulfon (ug/l)	aldicarbsulfoxide (ug/l)	aminomethylfosfonzuur (AMPA) (ug/l)	bupirimaat (ug/l)	carbaryl (ug/l)	carbendazim (ug/l)	carbofuran (ug/l)	chloorprofam (ug/l)	chloridazon (ug/l)	cycloxydim (ug/l)	dichlobenil (ug/l)	diethyltoluamide (ug/l)	dimethoaat (ug/l)	diuron (ug/l)	doc (g/m3)	ethiofencarb (ug/l)	ethofumesaat (ug/l)	etridiazool (ug/l)	fenamifos (ug/l)	fluroxypyr (ug/l)	flutolanil (ug/l)	furalaxyl (ug/l)	glyfosaat (ug/l)	imidacloprid (ug/l)	isoproturon (ug/l)	linuron (ug/l)	metalaxyl (ug/l)	metamitron (ug/l)	metazachloor (ug/l)	methabenzthiazuron (ug/l)	methiocarb (ug/l)	methiocarbsulfon (ug/l)	methomyl (ug/l)	metolachloor (ug/l)	metoxuron (ug/l)	oxamyl (ug/l)	pH (-)	pH-5 (-)	pH-veld (-)	pirimicarb (ug/l)	prochloraz (ug/l)	procymidon (ug/l)	propoxur (ug/l)	propyzamide (ug/l)	prosulfocarb (ug/l)	pyrimethanil (ug/l)	simazine (ug/l)	stijgh_mv (m-mv)	tebuconazool (ug/l)	tolclofos-methyl (ug/l)	
B40C0494	07-11-2007	L2007-11-0236	Slangenpomp	nee	400.0	600.0	08-11-2007																										1.39																																																																																																																																																																														
B40C0494	07-11-2007	L2007-11-0236	Slangenpomp	nee	400.0	600.0	08-11-2007																																																										776																																																																																																																																														
B40C0494	07-11-2007	L2007-11-0236	Slangenpomp	nee	400.0	600.0	08-11-2007																.55				284																			0			.27		12.7		.12																																																										.58											.04									.13																		.03					1.86																																																					
B40C0494	07-11-2007	L2007-11-0236	Slangenpomp	nee	400.0	600.0	08-11-2007																																																																																																																																																																																										7.34														
B40C0494	07-11-2007	L2007-11-0236	Slangenpomp	nee	400.0	600.0	08-11-2007																																									8.6																																																																																																																																																															
B40C0494	07-11-2007	L2007-11-0236	Slangenpomp	nee	400.0	600.0	08-11-2007																																																								822														.007																																																																12.1																																																						6.86												
B40C0494	07-11-2007	L2007-11-0236	Slangenpomp	nee	400.0	600.0	08-11-2007																																																																																													.21							.15																																																																																																				
B40C0494	07-11-2007	L2007-11-0237	Slangenpomp	nee	1300.0	1500.0	08-11-2007																																																										872																																																																																																																																														
B40C0494	07-11-2007	L2007-11-0237	Slangenpomp	nee	1300.0	1500.0	08-11-2007																																									33.6																																																																																																																																																															
B40C0494	07-11-2007	L2007-11-0237	Slangenpomp	nee	1300.0	1500.0	08-11-2007												-.01																									148																													7.41												1.7						20		.716																16.6					.101													39.1																																																																																
B40C0494	07-11-2007	L2007-11-0237	Slangenpomp	nee	1300.0	1500.0	08-11-2007																																																																																													1.22							.01																																																																																																				
B40C0494	07-11-2007	L2007-11-0237	Slangenpomp	nee	1300.0	1500.0	08-11-2007																										1.08																																																																																																																																																																														
B40C0494	07-11-2007	L2007-11-0237	Slangenpomp	nee	1300.0	1500.0	08-11-2007																26				174																			0			.25		10.6		.22																																																										.96											.06									.44																		.02					1.82																																																					
B40C0494	07-11-2007	L2007-11-0237	Slangenpomp	nee	1300.0	1500.0	08-11-2007																																																																																																																																																																																										7.39														
B40C0494	07-11-2007	L2007-11-0237	Slangenpomp	nee	1300.0	1500.0	08-11-2007																																																								833														.0069																																																																12.4																																																						6.94												
B40C0494	07-11-2007	L2007-11-0237	Slangenpomp	nee	1300.0	1500.0	08-11-2007																											82.9																																																																																																																																																																													
B40C0494	22-02-2006	L2006-02-0025	Slangenpomp	nee	400.0	600.0	24-02-2006																																																																											<.02																																																																																																																													
B40C0494	22-02-2006	L2006-02-0025	Slangenpomp	nee	400.0	600.0	24-02-2006														<50		<2																					150		<.1					<.8		<1																																26						21			480															7		<1											<1																																<5																																																					
B40C0494	22-02-2006	L2006-02-0025	Slangenpomp	nee	400.0	600.0	24-02-2006	<.1	<.1	<.5	<.5	<.5												<.01					<.01	<.02					<.5			<1		<.1														<.05					<.01	<1									<.05																																																						<.01	<.01	<.03											<.5	<.1	<.1	<.1							<.01					<.02													<.02				<.01	<.01	<.01					<.05			<.01			<.01	<.01	<.02		<.01	<.01				<.01	<.01					<.01	<.2	<.01		<.01	<.01	<.01	<.01		<.02	<.01	
B40C0494	22-02-2006	L2006-02-0025	Slangenpomp	nee	400.0	600.0	24-02-2006																																																																																																																																																								<.2																				<.2																												
B40C0494	22-02-2006	L2006-02-0025	Slangenpomp	nee	400.0	600.0	24-02-2006																																																																					510																																																																																																																																			
B40C0494	22-02-2006	L2006-02-0025	Slangenpomp	nee	400.0	600.0	24-02-2006																																																																																																																											45																																																																													
B40C0494	22-02-2006	L2006-02-0025	Slangenpomp	nee	400.0	600.0	22-02-2006																																																								901																																																																														10.6																																																						6.76												
B40C0494	22-02-2006	L2006-02-0025	Slangenpomp	nee	400.0	600.0	24-02-2006						<.05		<.05			<.01							<.07			<.01			<.05	<.05																							<.03	<.02																							<.02		<.02		<.01			<.05	<.05																																																																					<.05	<.05	<.05			<.05	<.02	<.05		<.02	<.05						<.05	<.01			<.05	<.01			<.05				<.02			<.05	<.05	<.05			<.05							<.05								
B40C0494	22-02-2006	L2006-02-0025	Slangenpomp	nee	400.0	600.0	24-02-2006																																									12																																																				.3		<.01				.1											<.05																																																																																										
B40C0494	22-02-2006	L2006-02-0026	Slangenpomp	nee	1300.0	1500.0	24-02-2006																																																																					380																																																																																																																																			
B40C0494	22-02-2006	L2006-02-0026	Slangenpomp	nee	1300.0	1500.0	24-02-2006																																																																											<.02																																																																																																																													
B40C0494	22-02-2006	L2006-02-0026	Slangenpomp	nee	1300.0	1500.0	24-02-2006						<.05		<.05			<.01							<.07			<.01			<.05	<.05																							<.03	<.02																							<.02		<.02		<.01			<.05	<.05																																																																					<.05	<.05	<.05			<.05	<.02	<.05		<.02	<.05						<.05	<.01			<.05	<.01			<.05				<.02			<.05	<.05	<.05			<.05							<.05								
B40C0494	22-02-2006	L2006-02-0026	Slangenpomp	nee	1300.0	1500.0	24-02-2006																																																																																																																																																								<.2																				<.2																												
B40C0494	22-02-2006	L2006-02-0026	Slangenpomp	nee	1300.0	1500.0	24-02-2006														<50		11																					140		<.1					<.8		<1																																1.6						19			650															17		<1											<1																																<5																																																					
