LOCATIE gegevens
NITG-nr	X-coord	Y-coord	Coordinaat systeem	Kaartblad	Bepaling locatie	Maaiveldhoogte (m tov NAP)	Bepaling maaiveldhoogte	OLGA-nr	RIVM-nr	Aantal analyses	Meetnet	Indeling	
B40A0397	186425	440925	Rijksdriehoeksmeting	40A		8.31		40AP0397		17			

KWALITEIT gegevens VLOEIBAAR
NITG-nr	Monster datum	Monster-nr	Monster apparatuur	Mengmonster	Bovenkant monster (cm tov MV)	Onderkant monster (cm tov MV)	Analyse datum	C-14 (o/o)	CO2 (mg/l)	CO3-- (mg/l)	Ca (mg/l)	Cl- (mg/l)	EC (uS/cm)	Fe (mg/l)	HCO3 (mg/l)	K (mg/l)	KMNO4V-O (mg/l)	Mg (mg/l)	Mn (mg/l)	NH4 (mg/l)	NO2 (mg/l)	NO3 (mg/l)	Na (mg/l)	O-18 (o/oo)	SO4 (mg/l)	T-isotopen (C)	TEMP-V (C)	TIJDH (mmol/l)	TOTH (mmol/l)	pH (-)	
B40A0397		C1972-11-1024		nee	2000.0	2200.0	13-11-1972				29	6	21.6	.26	138	6.4	3	7.6	.07	.18	<.01	.2	6.6		6		20	2.07	1.035	8.2	
B40A0397		C1972-11-1025		nee	4400.0	4600.0	13-11-1972				39.2	6	22.5	.21	142	1.4	3	3.9	.05	.04	<.01	.1	6.6		5		20	2.3	1.152	8.21	
B40A0397		C1972-12-1021		nee	9000.0	9200.0	08-12-1972				10.4	52	52.9	.19	270	10.9	11	2.4	.07	.82	<.01	.3	118		9		20	.72	.36	8.51	
B40A0397		C1972-11-1027		nee	9000.0	9200.0	13-11-1972				10	52	52.7	.38	271	10.7	11	3.3	.07	.64	<.01	.3	112		10		20	.79	.396	8.5	
B40A0397		C1972-11-1028		nee	11200.0	11400.0	13-11-1972				47.4	8	26.5	.23	176	1.4	3	5	.05	.09	<.01	<.1	8.6		4		20	2.8	1.404	8.3	
B40A0397		C1972-12-1023		nee	14100.0	14300.0	08-12-1972				34.6	378	141	.38	260	36.3	4	24.9	.07	2.3	<.01	.1	248		11		20	3.81	1.908	8.3	
B40A0397		C1972-11-1029		nee	14100.0	14300.0	13-11-1972				34.4	376	143	.42	255	31	6	26	.1	2.2	<.01	.2	225		10		20	3.85	1.926	8.3	
B40A0397		C1980-08-1070		nee	4400.0	4600.0	27-08-1980	23.2	.8	0	38.8				143	1.4		5.5					6.8	-7.19		11	0		1.194	7.8	
B40A0397		C1972-11-1026		nee	6000.0	6200.0	13-11-1972				19.8	6	23	.3	141	10.3	3	12	.11	.35	<.01	.1	8		7		20	1.98	.99	8.3	
B40A0397		C1980-08-1071		nee	6000.0	6200.0	27-08-1980	11.9	.7	0	21.8				145	11.6		12.8					6.8	-6.9			0		1.07	8	
B40A0397	08-12-1972	C1972-12-1022		nee	11200.0	11400.0	08-12-1972				48.8	6	26.2	.36	175	1.3	3	4.4	.02	.13	<.01	.1	7.4		3		20	2.8	1.404	7.71	
B40A0397	18-10-1972	C1972-10-1061		nee	14100.0	14300.0	18-10-1972				35.2	391		2.9	253	31	6	25.9	.02	2.4	<.01	.1	230		9		0	3.92	1.962	7.8	
B40A0397	18-10-1972	C1972-10-1060		nee	11200.0	11400.0	18-10-1972				46	7	27.44	.34	173	1.2	3	6.6	<.02	.16	<.01	<.1	6.9		4		18	2.88	1.44	7.6	
B40A0397	17-10-1972	C1972-10-1049		nee	6000.0	6200.0	17-10-1972				19.4	7	23.25	.25	141	9.8	4	12.4	.04	.33	<.01	<.1	7		6		18	2.01	1.008	7.7	
B40A0397	17-10-1972	C1972-10-1050		nee	9000.0	9200.0	17-10-1972				10.2	54	54.67	.24	261	9.8	9	3.2	<.02	.94	<.01	.4	111		8		18	.79	.396	8.2	
B40A0397	16-10-1972	C1972-10-1048		nee	4400.0	4600.0	16-10-1972				39.2	7	27.44	.27	138	1.4	2	3.64	.03	.16	<.01	.04	6.2		6		18	2.26	1.134	7.6	
B40A0397	16-10-1972	C1972-10-1047		nee	2000.0	2200.0	16-10-1972				28.2	7	22.73	.29	131	10.6	4	8	.06	.27	<.01	<.1	6.6		6		18	2.08	1.044	7.5	
