LOCATIE gegevens
NITG-nr	X-coord	Y-coord	Coordinaat systeem	Kaartblad	Bepaling locatie	Maaiveldhoogte (m tov NAP)	Bepaling maaiveldhoogte	OLGA-nr	RIVM-nr	Aantal analyses	Meetnet	Indeling	
B40C0495	186450	437023	Rijksdriehoeksmeting	40C		9.12		40CA3495	1057	43			

KWALITEIT gegevens VLOEIBAAR
NITG-nr	Monster datum	Monster-nr	Monster apparatuur	Mengmonster	Bovenkant monster (cm tov MV)	Onderkant monster (cm tov MV)	Analyse datum	111CL3EA (ug/l)	112CL3EA (ug/l)	11DCEa (ug/l)	12CL2PA (ug/l)	12DCEa (ug/l)	2,4-D (ug/l)	24D (ug/l)	24DNP (ug/l)	AL (ug/l)	AS (ug/l)	Abamectine (ug/l)	Al (mg/l)	Al (mg/m3)	Al (ug/l)	As (mg/m3)	As (ug/l)	Atrazine (ug/l)	BAM (2,6-dichloorbenzamide) (ug/l)	Ba (mg/m3)	Ba (ug/l)	Bentazon (ug/l)	Broompropylaat (ug/l)	Bupirimaat (ug/l)	Butocarboxim (ug/l)	Butocarboxim-SO (ug/l)	C-DOC (mg/l)	C-HCO3 (mg/l)	C12DCEe (ug/l)	CA (mg/l)	CD (ug/l)	CH4Cl2 (ug/l)	CL (mg/l)	CL3MA (ug/l)	CR (ug/l)	CU (ug/l)	Ca (g/m3)	Ca (mg/l)	Cd (mg/m3)	Cd (ug/l)	Cl- (g/m3)	Cl- (mg/l)	Co (ug/l)	Cr (mg/m3)	Cr (ug/l)	Cu (mg/m3)	Cu (ug/l)	DCBN (ug/l)	DMST (ug/l)	DNOC (ug/l)	DOC (g/m3)	DOC (mg/l)	Diazinon (ug/l)	Dichloormethaan (ug/l)	EC (mS/m)	EC-5 (mS/m)	EC-veld (uS/cm)	EC-veld_5 (mS/m)	EC25C (uS/cm)	ECLAB (uS/cm)	ECVELD (uS/cm)	EOX (ug/l)	Etridiazool (ug/l)	F- (g/m3)	FE (mg/l)	Fe (g/m3)	Fe (mg/l)	H-3 (TU)	HCO3 (g/m3)	HCO3 (mg/l)	HCO3-Veld (mol/l)	HCO3VELD (mg/l)	HTI (4-hydroxy-2,5,6-trichloorisoftalonitril (ug/l)	Haloxyfop-p-methyl (ug/l)	Hexythiazox (ug/l)	Hg (ug/l)	Imazalil (ug/l)	K (g/m3)	K (mg/l)	MCPA (ug/l)	MCPP (ug/l)	MG (mg/l)	MN (mg/l)	Mg (g/m3)	Mg (mg/l)	Mn (g/m3)	Mn (mg/l)	Mn (ug/l)	Mo (ug/l)	NA (mg/l)	NH4 (g/m3)	NH4 (gN/m3)	NH4 (mg/l)	NH4 (mgN/l)	NI (ug/l)	NO2 (mgN/l)	NO3 (g/m3)	NO3 (gN/m3)	NO3 (mg/l)	NO3 (mgN/l)	NO3+NO2 (mgN/l)	Na (g/m3)	Na (mg/l)	Ni (mg/m3)	Ni (ug/l)	O-PO4 (gP/m3)	O-PO4 (mg/l)	P (mg/l)	P (ug/l)	P-totaal (mg/l)	P-totaal (mgP/l)	PHLAB (-)	PHVELD (-)	PO4 (g/m3)	Pb (mg/m3)	Pb (ug/l)	Pencycuron (ug/l)	Pirimifos-methyl (ug/l)	Propiconazool (ug/l)	Ptot (g/m3)	S (mg/l)	SE (ug/l)	SO4 (g/m3)	SO4 (mg/l)	Se (ug/l)	Sr (mg/m3)	T-5 (C)	T-PO4 (gP/m3)	T-PO4 (mg/l)	T12CL2EE (ug/l)	T4CEe (ug/l)	T4CMa (ug/l)	TCEe (ug/l)	TEMP-V (C)	TEMP-Veld (C)	TEMPVELD (C)	TOTH (mmol/l)	TOTP (mg/l)	T_5 (C)	Terbutylazin (ug/l)	Terbutylazine (ug/l)	Tg (TU)	V (ug/l)	VOX (umol/m3)	Vinczln (ug/l)	ZN (ug/l)	Zn (mg/m3)	Zn (ug/l)	abamectine (ug/l)	aldicarb (ug/l)	aldicarbsulfon (ug/l)	aldicarbsulfoxide (ug/l)	aminomethylfosfonzuur (AMPA) (ug/l)	bupirimaat (ug/l)	carbaryl (ug/l)	carbendazim (ug/l)	carbofuran (ug/l)	chloorprofam (ug/l)	chloridazon (ug/l)	cycloxydim (ug/l)	dichlobenil (ug/l)	diethyltoluamide (ug/l)	dimethoaat (ug/l)	diuron (ug/l)	doc (g/m3)	ethiofencarb (ug/l)	ethofumesaat (ug/l)	etridiazool (ug/l)	fenamifos (ug/l)	fluroxypyr (ug/l)	flutolanil (ug/l)	furalaxyl (ug/l)	glyfosaat (ug/l)	imidacloprid (ug/l)	isoproturon (ug/l)	linuron (ug/l)	metalaxyl (ug/l)	metamitron (ug/l)	metazachloor (ug/l)	methabenzthiazuron (ug/l)	methiocarb (ug/l)	methiocarbsulfon (ug/l)	methomyl (ug/l)	metolachloor (ug/l)	metoxuron (ug/l)	oxamyl (ug/l)	pH (-)	pH-5 (-)	pH-veld (-)	pirimicarb (ug/l)	prochloraz (ug/l)	procymidon (ug/l)	propoxur (ug/l)	propyzamide (ug/l)	prosulfocarb (ug/l)	pyrimethanil (ug/l)	simazine (ug/l)	stijgh_mv (m-mv)	tebuconazool (ug/l)	tolclofos-methyl (ug/l)	
B40C0495	24-10-2011	L2011-10-0031	Slangenpomp	nee	400.0	600.0	25-10-2011												0																									145																													.03												.4						16		.03																46																		18.4																																																																																
B40C0495	24-10-2011	L2011-10-0031	Slangenpomp	nee	400.0	600.0	25-10-2011																																																																																																																																																																																										7.31														
B40C0495	24-10-2011	L2011-10-0031	Slangenpomp	nee	400.0	600.0	25-10-2011																																																																																													.01							6.41																																																																																																				
B40C0495	24-10-2011	L2011-10-0031	Slangenpomp	nee	400.0	600.0	25-10-2011																																																										1000																																																																																																																																														
B40C0495	24-10-2011	L2011-10-0031	Slangenpomp	nee	400.0	600.0	25-10-2011																																									62																																																																																																																																																															
B40C0495	24-10-2011	L2011-10-0031	Slangenpomp	nee	400.0	600.0	25-10-2011																										1.7	99.4																																																																																																																																																																													
B40C0495	24-10-2011	L2011-10-0031	Slangenpomp	nee	400.0	600.0	25-10-2011																																																																						.007775																																																																12.6																																																						6.97												
B40C0495	24-10-2011	L2011-10-0031	Slangenpomp	nee	400.0	600.0	25-10-2011																.335				102																			.831			.639		31.4		.71																																										.88																12.5				13.2							.07																																152																																																					
B40C0495	25-10-2010	L2010-10-0044	Slangenpomp	nee	1300.0	1500.0	26-10-2010																																																																																																																																																																																										7.1														
B40C0495	25-10-2010	L2010-10-0044	Slangenpomp	nee	1300.0	1500.0	26-10-2010																										2.2																																																																																																																																																																														
B40C0495	25-10-2010	L2010-10-0044	Slangenpomp	nee	1300.0	1500.0	28-10-2010																1.68				114																			.004			.047		.047		.18																																										1.31																1.28				223							0																																1																																																					
B40C0495	25-10-2010	L2010-10-0044	Slangenpomp	nee	1300.0	1500.0	26-10-2010																																																																																													.14							0																																																																																																				
B40C0495	25-10-2010	L2010-10-0044	Slangenpomp	nee	1300.0	1500.0	26-10-2010																											103																																																																																																																																																																													
B40C0495	25-10-2010	L2010-10-0044	Slangenpomp	nee	1300.0	1500.0	26-10-2010																																																										960																																																																																																																																														
B40C0495	25-10-2010	L2010-10-0044	Slangenpomp	nee	1300.0	1500.0	26-10-2010																																																								1001														.0077																																																																12.6																																																						7.18												
B40C0495	25-10-2010	L2010-10-0044	Slangenpomp	nee	1300.0	1500.0	28-10-2010												-.05																									123																													4.24												19.2						14.8		.818																29.7																		24.4																																																																																
B40C0495	25-10-2010	L2010-10-0044	Slangenpomp	nee	1300.0	1500.0	26-10-2010																																									56.8																																																																																																																																																															
B40C0495	25-10-2010	L2010-10-0043	Slangenpomp	nee	400.0	600.0	26-10-2010																																																								1108														.008																																																																13.2																																																						7.14												
B40C0495	25-10-2010	L2010-10-0043	Slangenpomp	nee	400.0	600.0	26-10-2010																																																										1050																																																																																																																																														
B40C0495	25-10-2010	L2010-10-0043	Slangenpomp	nee	400.0	600.0	26-10-2010																																																																																																																																																																																										7.08														
B40C0495	25-10-2010	L2010-10-0043	Slangenpomp	nee	400.0	600.0	26-10-2010																										1.8																																																																																																																																																																														
B40C0495	25-10-2010	L2010-10-0043	Slangenpomp	nee	400.0	600.0	28-10-2010												.03																									146																													0												.6						16.8		.011																51																		20.5																																																																																
B40C0495	25-10-2010	L2010-10-0043	Slangenpomp	nee	400.0	600.0	28-10-2010																.35				82																			.024			.349		.012		.61																																										.32																1.92				7.3							0																																1.2																																																					
B40C0495	25-10-2010	L2010-10-0043	Slangenpomp	nee	400.0	600.0	26-10-2010																																																																																													-.01							9.6																																																																																																				
B40C0495	25-10-2010	L2010-10-0043	Slangenpomp	nee	400.0	600.0	26-10-2010																																									75.8																																																																																																																																																															
B40C0495	25-10-2010	L2010-10-0043	Slangenpomp	nee	400.0	600.0	26-10-2010																											103																																																																																																																																																																													
B40C0495	02-11-2009	L2009-11-0002	Slangenpomp	nee	400.0	600.0	03-11-2009																																																										1010																																																																																																																																														
B40C0495	02-11-2009	L2009-11-0002	Slangenpomp	nee	400.0	600.0	28-10-2009																.27				88.7																			.02			.5		.03		.33																																										.43																2.17				4.84							.02																																1.31																																																					
B40C0495	02-11-2009	L2009-11-0002	Slangenpomp	nee	400.0	600.0	03-11-2009																											112																																																																																																																																																																													
B40C0495	02-11-2009	L2009-11-0002	Slangenpomp	nee	400.0	600.0	28-10-2009												.01																									146																													-.005												.5						16.8		.035																56.1																		13.8																																																																																
B40C0495	02-11-2009	L2009-11-0002	Slangenpomp	nee	400.0	600.0	03-11-2009																																																																																													.01							.81																																																																																																				
B40C0495	02-11-2009	L2009-11-0002	Slangenpomp	nee	400.0	600.0	03-11-2009																										1.73																																																																																																																																																																														
B40C0495	02-11-2009	L2009-11-0002	Slangenpomp	nee	400.0	600.0	28-10-2009																																									56.5																																																																																																																																																															
B40C0495	02-11-2009	L2009-11-0002	Slangenpomp	nee	400.0	600.0	02-11-2009																																																								1035														.00895																																																																16.9																																																						7.22												
B40C0495	02-11-2009	L2009-11-0002	Slangenpomp	nee	400.0	600.0	03-11-2009																																																																																																																																																																																										7.23														
B40C0495	12-11-2008	L2008-11-0024	Slangenpomp	nee	400.0	600.0	12-11-2008																																									52.2																																																																																																																																																															
B40C0495	12-11-2008	L2008-11-0024	Slangenpomp	nee	400.0	600.0	12-11-2008												0																									143																													.104												.7						16.2		.041																55.7					.047													17.1																																																																																
B40C0495	12-11-2008	L2008-11-0024	Slangenpomp	nee	400.0	600.0	12-11-2008																										1.68																																																																																																																																																																														
B40C0495	12-11-2008	L2008-11-0024	Slangenpomp	nee	400.0	600.0	12-11-2008																																																																																													.02							1.73																																																																																																				
B40C0495	12-11-2008	L2008-11-0024	Slangenpomp	nee	400.0	600.0	12-11-2008																.59				83.7																			.03					.32		1.19																																																										2.41											.17																																9.52																																																					
B40C0495	12-11-2008	L2008-11-0024	Slangenpomp	nee	400.0	600.0	12-11-2008																																																										1040																																																																																																																																														
B40C0495	12-11-2008	L2008-11-0024	Slangenpomp	nee	400.0	600.0	12-11-2008																																																																																																																																																																																										7.21														
B40C0495	12-11-2008	L2008-11-0024	Slangenpomp	nee	400.0	600.0	12-11-2008																																																								1058														.00865																																																																13.5																																																						7.03												
B40C0495	12-11-2008	L2008-11-0024	Slangenpomp	nee	400.0	600.0	12-11-2008																											120																																																																																																																																																																													
B40C0495	12-11-2008	L2008-11-0025	Slangenpomp	nee	1300.0	1500.0	12-11-2008																										2.27																																																																																																																																																																														
B40C0495	12-11-2008	L2008-11-0025	Slangenpomp	nee	1300.0	1500.0	12-11-2008												0																									132																													4.66												24.3						15.6		.896																31.9					.218													23.1																																																																																
B40C0495	12-11-2008	L2008-11-0025	Slangenpomp	nee	1300.0	1500.0	12-11-2008																																																																																																																																																																																										7.18														
B40C0495	12-11-2008	L2008-11-0025	Slangenpomp	nee	1300.0	1500.0	12-11-2008																1.55				132																			.01					.34		.21																																																										1.13											.06																																1.26																																																					
B40C0495	12-11-2008	L2008-11-0025	Slangenpomp	nee	1300.0	1500.0	12-11-2008																																									57.8																																																																																																																																																															
B40C0495	12-11-2008	L2008-11-0025	Slangenpomp	nee	1300.0	1500.0	12-11-2008																																																																																													.2							.01																																																																																																				
B40C0495	12-11-2008	L2008-11-0025	Slangenpomp	nee	1300.0	1500.0	12-11-2008																											98.9																																																																																																																																																																													
B40C0495	12-11-2008	L2008-11-0025	Slangenpomp	nee	1300.0	1500.0	12-11-2008																																																								1001														.0073																																																																12.8																																																						7.22												
B40C0495	12-11-2008	L2008-11-0025	Slangenpomp	nee	1300.0	1500.0	12-11-2008																																																										960																																																																																																																																														
B40C0495	01-01-2008	L2008-01-0158		nee	400.0	600.0	01-01-2008							<.05	<.05								.83	<.01	.17			<.01	<.01		<.05	<.05														.03		62.4							<.03	<.02			<.01																				<.02	<.02	<.01		<.05			<.05	<.05																			3.42					4.36					.045						.07	<.01	<.01	<.03																						<.01				<.02				<.01	<.05	<.05	<.05	<.2	<.02	<.05	<.02	<.05	<.02	<.02	<.05	<.05	<.01	<.01	<.01		<.05	<.01	<.05	<.05	<.05	<.01	<.01	<1		<.01	<.01	<.02	<.02	<.01	<.01	<.05	<.05	<.05	<.01	<.01	<.05				<.01	<.2	<.01	<.05	<.01	<.01	<.01	<.01		<.02	<.01	
