LOCATIE gegevens
NITG-nr	X-coord	Y-coord	Coordinaat systeem	Kaartblad	Bepaling locatie	Maaiveldhoogte (m tov NAP)	Bepaling maaiveldhoogte	OLGA-nr	RIVM-nr	Aantal analyses	Meetnet	Indeling	
B40D0126	193288	435513	Rijksdriehoeksmeting	40D		9.6		40DA3126	272	41			

KWALITEIT gegevens VLOEIBAAR
NITG-nr	Monster datum	Monster-nr	Monster apparatuur	Mengmonster	Bovenkant monster (cm tov MV)	Onderkant monster (cm tov MV)	Analyse datum	Al (mg/l)	Al (mg/m3)	As (mg/m3)	As (ug/l)	B (mg/m3)	Ba (mg/m3)	Ba (ug/l)	Ca (mg/l)	Ca++ (g/m3)	Cd (mg/m3)	Cd (ug/l)	Cl- (g/m3)	Cl- (mg/l)	Co (mg/m3)	Cr (mg/m3)	Cr (ug/l)	Cu (mg/m3)	Cu (ug/l)	DOC_C (g/m3)	EC (mS/m)	EC(5)_veld (mS/m)	EC25C (mS/m)	EOX (umol/m3)	F- (g/m3)	Fe (g/m3)	Fe (mg/l)	H+ (-)	H+(5)_veld (-)	HCO3 (mg/l)	HCO3- (g/m3)	HCO3-_veld (g/m3)	K (mg/l)	K+ (g/m3)	KMnO4_O (gO/m3)	Mg (mg/l)	Mg++ (g/m3)	Mn (g/m3)	Mn (mg/l)	NH4 (mg/l)	NH4+_N (g/m3)	NO3 (mg/l)	NO3-_N (g/m3)	Na (mg/l)	Na+ (g/m3)	Ni (mg/m3)	Ni (ug/l)	P-tot_P (g/m3)	PO4---_P (g/m3)	Pb (mg/m3)	Pb (ug/l)	SO4 (mg/l)	SO4-- (g/m3)	SiO2_Si (g/m3)	Sr (mg/m3)	T(5)_veld (C)	T-PO4 (mg/l)	TEMP-V (C)	TOC_C (g/m3)	TOTH (mmol/l)	Tg (TU)	V (mg/m3)	VOX (umol/m3)	Zn (mg/m3)	Zn (ug/l)	pH (-)	
B40D0126	01-07-1993	C1993-07-1009		nee	1110.0	1310.0	01-07-1993		13.49	5.694			262.575			169.422			39.715							2.486		98				8.014			7.1					3.949			17.892	0.643					0.069		14.783			0.434					83.111		730.751	10.7								<6.539			
B40D0126	01-07-1993	C1993-07-1010		nee	2260.0	2460.0	01-07-1993		<13.49	25.098			144.059			102.32			9.299							3.147		63				5.92			7.24					2.385			12.422	0.281					0.057		13.886			0.372					9.616		443.357	10.4								6.539			
B40D0126	18-08-1992	C1992-08-1090		nee	2260.0	2460.0	18-08-1992		<13.49	25.38			147.42			105.08	<0.04		10.53					<0.64		2.45			63.84			6.02		7.3			387.48			2.4			12.98	0.31			1.04		0.03		13.13	<0.88				<0.08			11.14		457.77									<6.54			
B40D0126	18-08-1992	C1992-08-1089		nee	1110.0	1310.0	18-08-1992		<13.49	3.57			281.69			192.59	<0.04		44.67					<0.64		2.14			109.15			8.48		6.91			559.55			3.14			20.58	0.66			1.97		0.03		15.9	<0.88				<0.08			72.24		769.32									<6.54			
B40D0126	24-06-1991	C1991-06-1270		nee	2260.0	2460.0	24-06-1991		53.46	26.27			152.64			111.08	<0.11		9.83			<0.52		<0.63		1.98			64.41			6.55		7.41			393.45			2.5			13.44	0.31			1.03		0.12		12.15	<0.59		0.46		<2.07			10.07		487.14									<6.54			
B40D0126	24-06-1991	C1991-06-1269		nee	1110.0	1310.0	24-06-1991		97.08	6.57			296.92			173.18	<0.11		40.3			1.14		<0.63		1.71			96.72			9.37		7.25			466.04			4.78			18.31	0.66			1.72		0.13		13.99	0.65		0.59		<2.07			79.04		780.16									<6.54			
B40D0126	21-06-1991	C1991-06-1258		nee	2260.0	2460.0	21-06-1991	.053			26.27			152.64	111.08			<.11		9.83			<.52		<.63		57						6.55			393.45			2.5			13.44			.31	1.329		.532		12.15			<.59				<2.07	10.07					1.412	20		3.324					<6.54	7.41	
B40D0126	21-06-1990	C1990-06-1213		nee	1110.0	1310.0	21-06-1990		<18.83	5.88			276.04			155.3	<0.11		37.31			<0.52		<0.63		3.38			90.96		0.15	8.35		7.07			402.6			4.56			16.23	0.56			1.73		<0.28		12.87	0.7		0.57		<2.07			94.01		693.26								<1.13	<6.54			
B40D0126	21-06-1990	C1990-06-1214		nee	2260.0	2460.0	21-06-1990		<18.83	25.62			151.94			110.72	<0.11		11.15			<0.52		<0.63		3.13			66.44			6.54		7.16			393.45			2.44			13.43	0.3			1.09		<0.28		11.36	0.7		0.44		<2.07			15.05		479.32									<6.54			
B40D0126	02-08-1989	C1989-08-1008		nee	1110.0	1310.0	02-08-1989									195			41.8										106.67			11.6		7.33			548			5.17			19.8				1.89		<0.28		15.22			0.44	0.01				81														
