LOCATIE gegevens
NITG-nr	X-coord	Y-coord	Coordinaat systeem	Kaartblad	Bepaling locatie	Maaiveldhoogte (m tov NAP)	Bepaling maaiveldhoogte	OLGA-nr	RIVM-nr	Aantal analyses	Meetnet	Indeling	
B40A0457	189750	444100	Rijksdriehoeksmeting	40A		18.0		40AA3457	387	37			

KWALITEIT gegevens VLOEIBAAR
NITG-nr	Monster datum	Monster-nr	Monster apparatuur	Mengmonster	Bovenkant monster (cm tov MV)	Onderkant monster (cm tov MV)	Analyse datum	Al (mg/m3)	As (mg/m3)	B (mg/m3)	Ba (mg/m3)	Ca++ (g/m3)	Cd (mg/m3)	Cl- (g/m3)	Cr (mg/m3)	Cu (mg/m3)	DOC_C (g/m3)	EC(5)_veld (mS/m)	EC25C (mS/m)	EOX (umol/m3)	F- (g/m3)	Fe (g/m3)	H+ (-)	H+(5)_veld (-)	HCO3- (g/m3)	HCO3-_veld (g/m3)	K+ (g/m3)	KMnO4_O (gO/m3)	Mg++ (g/m3)	Mn (g/m3)	NH4+_N (g/m3)	NO3-_N (g/m3)	Na+ (g/m3)	Ni (mg/m3)	P-tot_P (g/m3)	PO4---_P (g/m3)	Pb (mg/m3)	SO4-- (g/m3)	SiO2_Si (g/m3)	Sr (mg/m3)	T(5)_veld (C)	TOC_C (g/m3)	Tg (TU)	VOX (umol/m3)	Zn (mg/m3)	
B40A0457	25-11-1991	C1991-11-1272		nee	2300.0	2500.0	25-11-1991	<13.49	<0.07		21.14	62.53	0.06	51.83	<0.52	<0.64	0.73		59.32			<0.01	6.53		145.79		16.43		9.99	2.4	<0.01	4	27.91	2.99	<0.06		0.21	61.06		150.8					<6.54	
B40A0457	09-07-1990	C1990-07-1058		nee	1010.0	1210.0	09-07-1990	512.27	7.55		85.72	56.48	1.44	39.33	1.14	3.35	1.55		51.75		0.03	0.94	6.85		115.9		7.8		6.33	0.02	<0.01	10.65	32.14	5.93	0.37		4.81	34.95		149.03				5.92	<6.54	
B40A0457	27-09-1989	C1989-09-1147		nee	1010.0	1210.0	27-09-1989					64.3		51.1					58.53			0.02	6.93		136		8.02		8.2		0.03	11.2	33.56		0.33	0.33		37.5								
B40A0457	27-09-1989	C1989-09-1148		nee	2300.0	2500.0	27-09-1989					71.2		62.2					68.02			<0.02	6.66		151		16.81		11.72		0.03	6.15	32.22		<0.06	0.01		77.7								
B40A0457	04-07-1988	C1988-07-1014		nee	1010.0	1210.0	04-07-1988					68.8		47.9					57.63				6.77		150		8.98		8.8		0.03	9.83	27.06		0.37			42.2								
B40A0457	04-07-1988	C1988-07-1015		nee	2300.0	2500.0	04-07-1988					72.8		57.9					65.31				6.74		150		15.89		11.37		0.03	5.85	30.57		<0.06			83.2								
B40A0457	27-08-1987	C1987-08-1143		nee	1010.0	1210.0	27-08-1987					48		39.2			1.44		43.95				7.47		102		8.45		5.17		0.04	8.09	26		0.4			28								
B40A0457	27-08-1987	C1987-08-1144		nee	2300.0	2500.0	27-08-1987					69.9		53.3			0.72		63.84				7.22		143		15.7		11.3		0.03	6.09	31.2		<0.06			81.2								
B40A0457	20-08-1986	C1986-08-1146		nee	1010.0	1210.0	20-08-1986					59.6		45			1.71		52.32				7.66		121		10.2		7.22		0.03	8.99	24.6		<0.06			40.8								
B40A0457	20-08-1986	C1986-08-1147		nee	2300.0	2500.0	20-08-1986					74.2		53.6			0.89		66.1				7.13		149		16		11.2		0.11	7.08	31.3		<0.06			81.5								
B40A0457	15-08-1985	C1985-08-1062		nee	1010.0	1210.0	15-08-1985					57.4		47.1			1.9		51.41				6.66		118		11.1		6.66		0.02	9.91	24.4		<0.06			39.1								
B40A0457	15-08-1985	C1985-08-1063		nee	2300.0	2500.0	15-08-1985					70		54.3			1.2		65.76				6.53		151		16.7		11.6		0.01	8.74	28.9		0.34			81.3								
B40A0457	20-06-1984	C1984-06-1128		nee	1010.0	1210.0	20-06-1984					46		48					45.2	15			6.7		90		10	0.7	5.7		0.02	7.2	22		0.25	0.24		31	8			<0.1				
B40A0457	20-06-1984	C1984-06-1129		nee	2300.0	2500.0	20-06-1984					63		54					64.41	10			6.6		139		15	0.5	11		0.08	6.9	33		<0.01	<0.01		82	5.8			<0.1				
B40A0457	17-05-1983	C1983-05-1052		nee	1400.0	1600.0	17-05-1983					64		44					54.24	20			6.53		128		14	1.2	11		<0.01	6.2	22		0.04	<0.01		73	6			2		<6		
B40A0457	17-05-1983	C1983-05-1051		nee	1010.0	1210.0	17-05-1983					45		39					40.68	5			6.72		102		12	2	4.6		<0.01	5	20		0.35	0.16		31	7.6			5		<6		
B40A0457	17-05-1983	C1983-05-1053		nee	2300.0	2500.0	17-05-1983					66		50					59.89	5			6.61		136		14	0.8	12.4		<0.01	7.8	27		0.06	<0.01		82	5			2		<6		
B40A0457	16-05-1983	C1983-05-8009		nee	2300.0	2500.0	16-05-1983																																				15			
B40A0457	16-05-1983	C1983-05-8008		nee	1010.0	1210.0	16-05-1983																																				65			
