wellfield,screen_top_nap,screen_bot_nap
Fikkersdries,-36.56230769230769,-63.38
Hemmen,-32.28857142857143,-49.36571428571428
Sijmons,-31.678461538461537,-66.28615384615385
Zetten,-46.31,-62.71777777777778
