Locatie,x_coord,y_coord
Fikkersdries,-13316769.181974513,-10158940.187209124
Hemmen,-9868653.558088126,-9819744.334532835
Sijmons,-13573119.196769988,-8523897.575241247
Zetten,-13769076.268269487,-13480452.713212218
