Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,02-11-2021,,,,,,,,
Gegevens beschikbaar:,14-08-1997,tot:,13-10-2000,,,,,,,,
Datum: ,02-11-2021,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B40B0433,002,40BP0433,192528,440953,1126,16-06-1994,16-06-1994,03-11-2017,1182,56,-1174,-1374
B40B0433,002,40BP0433,192528,440953,1126,16-06-1994,03-11-2017,28-10-2000,1189,63,-1174,-1374


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B40B0433,002,14-08-1997,360,304,822,,,,,,
B40B0433,002,15-09-1997,379,323,803,,,,,,
B40B0433,002,13-10-1997,419,363,763,,,,,,
B40B0433,002,13-11-1997,415,359,767,,,,,,
B40B0433,002,15-12-1997,396,340,786,,,,,,
B40B0433,002,13-01-1998,281,225,901,,,,,,
B40B0433,002,13-02-1998,270,214,912,,,,,,
B40B0433,002,13-03-1998,263,207,919,,,,,,
B40B0433,002,23-03-1998,339,283,843,,CONTROLE,,,,
B40B0433,002,14-04-1998,304,248,878,,,,,,
B40B0433,002,13-05-1998,350,294,832,,,,,,
B40B0433,002,12-06-1998,355,299,827,,,,,,
B40B0433,002,14-07-1998,360,304,822,,,,,,
B40B0433,002,14-08-1998,412,356,770,,,,,,
B40B0433,002,14-09-1998,370,314,812,,,,,,
B40B0433,002,13-10-1998,331,275,851,,,,,,
B40B0433,002,13-11-1998,115,59,1067,,,,,,
B40B0433,002,14-12-1998,324,268,858,,,,,,
B40B0433,002,15-01-1999,265,209,917,,,,,,
B40B0433,002,12-02-1999,241,185,941,,,,,,
B40B0433,002,13-04-1999,255,199,927,,,,,,
B40B0433,002,14-05-1999,277,221,905,,,,,,
B40B0433,002,14-06-1999,238,182,944,,,,,,
B40B0433,002,13-07-1999,311,255,871,,,,,,
B40B0433,002,16-08-1999,348,292,834,,,,,,
B40B0433,002,14-09-1999,382,326,800,,,,,,
B40B0433,002,13-10-1999,372,316,810,,,,,,
B40B0433,002,15-11-1999,369,313,813,,,,,,
B40B0433,002,14-12-1999,268,212,914,,,,,,
B40B0433,002,13-01-2000,256,200,926,,,,,,
B40B0433,002,14-02-2000,275,219,907,,,,,,
B40B0433,002,14-03-2000,178,122,1004,,HOGE RIVIERSTAND ZIE 40B P0434,,,,
B40B0433,002,13-04-2000,310,254,872,,,,,,
B40B0433,002,12-05-2000,337,281,845,,,,,,
B40B0433,002,14-06-2000,329,273,853,,,,,,
B40B0433,002,14-07-2000,338,282,844,,,,,,
B40B0433,002,14-08-2000,331,275,851,,,,,,
B40B0433,002,14-09-2000,375,319,807,,,,,,
B40B0433,002,13-10-2000,363,307,819,,,,,,
