Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,02-11-2021,,,,,,,,
Gegevens beschikbaar:,14-10-1952,tot:,28-12-2004,,,,,,,,
Datum: ,02-11-2021,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B40D0306,001,40DL0002,193390,436060,1005,14-10-1952,14-10-1952,27-04-1954,1004,-1,,
B40D0306,001,40DL0002,193390,436060,1005,14-10-1952,27-04-1954,26-04-1955,993,-12,,
B40D0306,001,40DL0002,193390,436060,1005,14-10-1952,26-04-1955,28-04-1966,996,-9,,
B40D0306,001,40DL0002,193390,436060,1005,14-10-1952,28-04-1966,14-12-1966,1003,-2,,
B40D0306,001,40DL0002,193390,436060,1005,14-10-1952,14-12-1966,28-04-1969,,0,,
B40D0306,001,40DL0002,193390,436060,1026,28-04-1969,28-04-1969,28-08-1975,1026,0,876,826
B40D0306,001,40DL0002,193390,436060,1026,28-04-1969,28-08-1975,25-10-1985,1022,-4,872,822
B40D0306,001,40DL0002,193390,436060,1026,28-04-1969,25-10-1985,28-02-2005,1023,-3,773,723


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B40D0306,001,14-10-1952,,,,D,,,,,
B40D0306,001,16-12-1952,69,70,935,,,,,,
B40D0306,001,28-04-1953,107,108,897,,,,,,
B40D0306,001,28-08-1953,142,143,862,,,,,,
B40D0306,001,13-10-1953,,,,D,,,,,
B40D0306,001,27-04-1954,140,152,853,,,,,,
B40D0306,001,13-10-1954,80,92,913,,,,,,
B40D0306,001,10-12-1954,83,95,910,,,,,,
B40D0306,001,26-04-1955,98,107,898,,,,,,
B40D0306,001,21-05-1955,76,85,920,,,,,,
B40D0306,001,25-08-1955,133,142,863,,,,,,
B40D0306,001,13-10-1955,148,157,848,,,,,,
B40D0306,001,28-08-1957,117,126,879,,,,,,
B40D0306,001,14-10-1957,87,96,909,,,,,,
B40D0306,001,14-12-1957,116,125,880,,,,,,
B40D0306,001,28-04-1958,89,98,907,,,,,,
B40D0306,001,28-08-1958,97,106,899,,,,,,
B40D0306,001,14-10-1958,103,112,893,,,,,,
B40D0306,001,15-12-1958,103,112,893,,,,,,
B40D0306,001,28-04-1959,98,107,898,,,,,,
B40D0306,001,28-08-1959,,,,D,,,,,
B40D0306,001,14-10-1959,,,,D,,,,,
B40D0306,001,14-12-1959,,,,D,,,,,
B40D0306,001,28-04-1960,,,,D,,,,,
B40D0306,001,29-08-1960,134,143,862,,,,,,
B40D0306,001,14-10-1960,61,70,935,,,,,,
B40D0306,001,14-12-1960,66,75,930,,,,,,
B40D0306,001,28-04-1961,95,104,901,,,,,,
B40D0306,001,28-08-1961,97,106,899,,,,,,
B40D0306,001,13-10-1961,123,132,873,,,,,,
B40D0306,001,14-12-1961,53,62,943,,,,,,
B40D0306,001,27-04-1962,78,87,918,,,,,,
B40D0306,001,28-08-1962,128,137,868,,,,,,
B40D0306,001,15-10-1962,130,139,866,,,,,,
B40D0306,001,29-04-1963,115,124,881,,,,,,
B40D0306,001,28-08-1963,103,112,893,,,,,,
B40D0306,001,14-10-1963,132,141,864,,,,,,
B40D0306,001,17-12-1963,122,131,874,,,,,,
B40D0306,001,28-04-1964,136,145,860,,,,,,
B40D0306,001,28-08-1964,154,163,842,D,,,,,
B40D0306,001,14-10-1964,155,164,841,,,,,,
B40D0306,001,14-12-1964,135,144,861,,,,,,
B40D0306,001,28-04-1965,63,72,933,,,,,,
B40D0306,001,27-08-1965,101,110,895,,,,,,
B40D0306,001,14-10-1965,103,112,893,,,,,,
B40D0306,001,28-04-1966,80,82,923,,,,,,
B40D0306,001,14-12-1966,81,81,,,,,,,
B40D0306,001,28-04-1967,117,117,,,,,,,
B40D0306,001,28-08-1967,166,166,,,,,,,
B40D0306,001,13-10-1967,171,171,,,,,,,
B40D0306,001,14-12-1967,119,119,,,,,,,
B40D0306,001,29-04-1968,182,182,,,,,,,
B40D0306,001,28-08-1968,136,136,,,,,,,
B40D0306,001,28-04-1969,115,115,911,,,,,,
B40D0306,001,28-08-1969,116,116,910,,,,,,
B40D0306,001,14-10-1969,188,188,838,,,,,,
B40D0306,001,15-12-1969,127,127,899,,,,,,
B40D0306,001,28-04-1970,108,108,918,,,,,,
B40D0306,001,14-09-1970,151,151,875,,,,,,
B40D0306,001,14-10-1970,155,155,871,,,,,,
B40D0306,001,14-12-1970,126,126,900,,,,,,
B40D0306,001,28-04-1971,197,197,829,,,,,,
B40D0306,001,27-08-1971,150,150,876,D,,,,,
B40D0306,001,14-10-1971,244,244,782,,,,,,
