Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,02-11-2021,,,,,,,,
Gegevens beschikbaar:,30-07-1997,tot:,10-10-2019,,,,,,,,
Datum: ,02-11-2021,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B40B0441,002,40BP0441,190350,439600,923,23-07-1997,23-07-1997,29-05-2012,986,63,-1559,-1659
B40B0441,002,40BP0441,190350,439600,923,23-07-1997,29-05-2012,09-11-2017,983,60,-1559,-1659
B40B0441,002,40BP0441,190350,439600,923,23-07-1997,09-11-2017,10-10-2019,1012,89,-1559,-1659


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B40B0441,002,30-07-1997,201,138,785,,,,,,
B40B0441,002,31-07-1997,201,138,785,,,,,,
B40B0441,002,01-08-1997,200,137,786,,,,,,
B40B0441,002,04-08-1997,201,138,785,,,,,,
B40B0441,002,05-08-1997,203,140,783,,,,,,
B40B0441,002,06-08-1997,204,141,782,,,,,,
B40B0441,002,07-08-1997,206,143,780,,,,,,
B40B0441,002,08-08-1997,207,144,779,,,,,,
B40B0441,002,11-08-1997,212,149,774,,,,,,
B40B0441,002,12-08-1997,220,157,766,,,,,,
B40B0441,002,13-08-1997,221,158,765,,,,,,
B40B0441,002,14-08-1997,223,160,763,,,,,,
B40B0441,002,13-10-1997,226,163,760,,,,,,
B40B0441,002,27-10-1997,220,157,766,,,,,,
B40B0441,002,13-11-1997,221,158,765,,,,,,
B40B0441,002,27-11-1997,223,160,763,,,,,,
B40B0441,002,15-12-1997,199,136,787,,,,,,
B40B0441,002,29-12-1997,188,125,798,,,,,,
B40B0441,002,13-01-1998,180,117,806,,,,,,
B40B0441,002,26-01-1998,184,121,802,,,,,,
B40B0441,002,13-02-1998,193,130,793,,,,,,
B40B0441,002,26-02-1998,202,139,784,,,,,,
B40B0441,002,13-03-1998,161,98,825,,,,,,
B40B0441,002,27-03-1998,181,118,805,,,,,,
B40B0441,002,14-04-1998,183,120,803,,,,,,
B40B0441,002,27-04-1998,183,120,803,,,,,,
B40B0441,002,13-05-1998,195,132,791,,,,,,
B40B0441,002,27-05-1998,198,135,788,,,,,,
B40B0441,002,12-06-1998,183,120,803,,,,,,
B40B0441,002,29-06-1998,192,129,794,,,,,,
B40B0441,002,14-07-1998,196,133,790,,,,,,
B40B0441,002,29-07-1998,202,139,784,,,,,,
B40B0441,002,14-08-1998,216,153,770,,,,,,
B40B0441,002,27-08-1998,209,146,777,,,,,,
B40B0441,002,14-09-1998,174,111,812,,,,,,
B40B0441,002,28-09-1998,174,111,812,,,,,,
B40B0441,002,13-10-1998,162,99,824,,,,,,
B40B0441,002,27-10-1998,153,90,833,,,,,,
B40B0441,002,13-11-1998,139,76,847,,,,,,
B40B0441,002,27-11-1998,160,97,826,,,,,,
B40B0441,002,14-12-1998,160,97,826,,,,,,
B40B0441,002,28-12-1998,155,92,831,,,,,,
B40B0441,002,15-01-1999,160,97,826,,,,,,
B40B0441,002,28-01-1999,163,100,823,,,,,,
B40B0441,002,12-02-1999,161,98,825,,,,,,
B40B0441,002,25-02-1999,155,92,831,,,,,,
B40B0441,002,12-03-1999,146,83,840,,,,,,
B40B0441,002,26-03-1999,159,96,827,,,,,,
B40B0441,002,13-04-1999,168,105,818,,,,,,
B40B0441,002,28-04-1999,173,110,813,,,,,,
B40B0441,002,14-05-1999,173,110,813,,,,,,
B40B0441,002,27-05-1999,174,111,812,,,,,,
B40B0441,002,14-06-1999,176,113,810,,,,,,
B40B0441,002,28-06-1999,184,121,802,,,,,,
B40B0441,002,13-07-1999,192,129,794,,,,,,
B40B0441,002,27-07-1999,199,136,787,,,,,,
B40B0441,002,16-08-1999,198,135,788,,,,,,
B40B0441,002,30-08-1999,202,139,784,,,,,,
B40B0441,002,14-09-1999,222,159,764,,,,,,
B40B0441,002,27-09-1999,221,158,765,,,,,,
B40B0441,002,13-10-1999,218,155,768,,,,,,
B40B0441,002,28-10-1999,217,154,769,,,,,,
B40B0441,002,15-11-1999,214,151,772,,,,,,
B40B0441,002,25-11-1999,209,146,777,,,,,,
B40B0441,002,14-12-1999,181,118,805,,,,,,
B40B0441,002,27-12-1999,158,95,828,,,,,,
B40B0441,002,13-01-2000,169,106,817,,,,,,
B40B0441,002,27-01-2000,183,120,803,,,,,,
