Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,02-11-2021,,,,,,,,
Gegevens beschikbaar:,13-10-1952,tot:,28-08-1963,,,,,,,,
Datum: ,02-11-2021,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B40D0317,001,40DL0029,196320,433140,1091,13-10-1952,13-10-1952,26-04-1955,1089,-2,,
B40D0317,001,40DL0029,196320,433140,1091,13-10-1952,26-04-1955,28-08-1957,1085,-6,,
B40D0317,001,40DL0029,196320,433140,1091,13-10-1952,28-08-1957,28-04-1964,,-8,,


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B40D0317,001,13-10-1952,,,,D,,,,,
B40D0317,001,17-12-1952,76,78,1013,,,,,,
B40D0317,001,27-04-1953,150,152,939,,,,,,
B40D0317,001,28-08-1953,175,177,914,,,,,,
B40D0317,001,14-10-1953,,,,D,,,,,
B40D0317,001,15-12-1953,,,,D,,,,,
B40D0317,001,28-04-1954,186,188,903,D,,,,,
B40D0317,001,26-08-1954,113,115,976,,,,,,
B40D0317,001,12-10-1954,87,89,1002,,,,,,
B40D0317,001,10-12-1954,134,136,955,,,,,,
B40D0317,001,26-04-1955,121,127,964,,,,,,
B40D0317,001,10-05-1955,134,140,951,,,,,,
B40D0317,001,26-08-1955,158,164,927,,,,,,
B40D0317,001,14-10-1955,196,202,889,,,,,,
B40D0317,001,28-08-1957,172,180,,,,,,,
B40D0317,001,14-10-1957,115,123,,,,,,,
B40D0317,001,14-12-1957,198,206,,,,,,,
B40D0317,001,28-04-1958,119,127,,,,,,,
B40D0317,001,28-08-1958,127,135,,,,,,,
B40D0317,001,14-10-1958,174,182,,,,,,,
B40D0317,001,15-12-1958,158,166,,,,,,,
B40D0317,001,28-04-1959,137,145,,,,,,,
B40D0317,001,28-08-1959,,,,D,,,,,
B40D0317,001,14-10-1959,,,,D,,,,,
B40D0317,001,14-12-1959,,,,D,,,,,
B40D0317,001,14-04-1960,,,,D,,,,,
B40D0317,001,29-08-1960,145,153,,,,,,,
B40D0317,001,14-10-1960,75,83,,,,,,,
B40D0317,001,14-12-1960,70,78,,,,,,,
B40D0317,001,28-04-1961,125,133,,,,,,,
B40D0317,001,28-08-1961,115,123,,,,,,,
B40D0317,001,13-10-1961,175,183,,,,,,,
B40D0317,001,14-12-1961,54,62,,,,,,,
B40D0317,001,27-04-1962,73,81,,,,,,,
B40D0317,001,28-08-1962,174,182,,,,,,,
B40D0317,001,15-10-1962,198,206,,,,,,,
B40D0317,001,14-12-1962,200,208,,,,,,,
B40D0317,001,28-08-1963,90,98,,,,,,,
