Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,02-11-2021,,,,,,,,
Gegevens beschikbaar:,28-01-1981,tot:,28-08-1990,,,,,,,,
Datum: ,02-11-2021,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B40C0625,001,40CL0101,182680,430150,839,28-01-1981,28-01-1981,14-09-1990,897,58,597,497


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B40C0625,001,28-01-1981,172,114,725,,,,,,
B40C0625,001,28-02-1981,186,128,711,,,,,,
B40C0625,001,27-03-1981,160,102,737,,,,,,
B40C0625,001,28-04-1981,162,104,735,,,,,,
B40C0625,001,28-05-1981,170,112,727,,,,,,
B40C0625,001,29-06-1981,180,122,717,,,,,,
B40C0625,001,28-07-1981,161,103,736,,,,,,
B40C0625,001,28-08-1981,162,104,735,,,,,,
B40C0625,001,29-09-1981,188,130,709,,,,,,
B40C0625,001,28-10-1981,200,142,697,,,,,,
B40C0625,001,27-11-1981,200,142,697,,,,,,
B40C0625,001,28-12-1981,143,85,754,,,,,,
B40C0625,001,28-01-1982,148,90,749,,,,,,
B40C0625,001,01-03-1982,159,101,738,,,,,,
B40C0625,001,29-03-1982,162,104,735,,,,,,
B40C0625,001,28-04-1982,156,98,741,,,,,,
B40C0625,001,27-05-1982,159,101,738,,,,,,
B40C0625,001,28-06-1982,149,91,748,,,,,,
B40C0625,001,29-07-1982,165,107,732,,,,,,
B40C0625,001,27-08-1982,163,105,734,,,,,,
B40C0625,001,28-09-1982,187,129,710,,,,,,
B40C0625,001,28-10-1982,157,99,740,,,,,,
B40C0625,001,29-11-1982,164,106,733,,,,,,
B40C0625,001,28-12-1982,142,84,755,,,,,,
B40C0625,001,28-01-1983,153,95,744,,,,,,
B40C0625,001,28-02-1983,168,110,729,,,,,,
B40C0625,001,28-03-1983,149,91,748,,,,,,
B40C0625,001,28-04-1983,188,130,709,,,,,,
B40C0625,001,31-05-1983,119,61,778,,,,,,
B40C0625,001,28-06-1983,146,88,751,,,,,,
B40C0625,001,28-07-1983,150,92,747,,,,,,
B40C0625,001,26-08-1983,145,87,752,,,,,,
B40C0625,001,30-09-1983,164,106,733,,,,,,
B40C0625,001,28-10-1983,182,124,715,,,,,,
B40C0625,001,25-11-1983,198,140,699,,,,,,
B40C0625,001,27-12-1983,130,72,767,,,,,,
B40C0625,001,27-01-1984,138,80,759,,,,,,
B40C0625,001,28-02-1984,155,97,742,,,,,,
B40C0625,001,27-03-1984,177,119,720,,,,,,
B40C0625,001,27-04-1984,155,97,742,,,,,,
B40C0625,001,26-04-1985,169,111,728,,,,,,
B40C0625,001,29-05-1985,171,113,726,,,,,,
B40C0625,001,28-06-1985,116,58,781,,,,,,
B40C0625,001,12-07-1985,150,92,747,,,,,,
B40C0625,001,28-08-1985,172,114,725,,,,,,
B40C0625,001,27-09-1985,197,139,700,,,,,,
B40C0625,001,28-10-1985,228,170,669,,,,,,
B40C0625,001,07-01-1986,187,129,710,,,,,,
B40C0625,001,31-01-1986,111,53,786,,,,,,
B40C0625,001,03-03-1986,202,144,695,,,,,,
B40C0625,001,28-04-1986,161,103,736,,,,,,
B40C0625,001,29-05-1986,149,91,748,,,,,,
B40C0625,001,26-06-1986,148,90,749,,,,,,
B40C0625,001,25-07-1986,162,104,735,,,,,,
B40C0625,001,22-08-1986,162,104,735,,,,,,
B40C0625,001,02-10-1986,119,61,778,,,,,,
B40C0625,001,03-11-1986,155,97,742,,,,,,
B40C0625,001,26-11-1986,158,100,739,,,,,,
B40C0625,001,22-12-1986,148,90,749,,,,,,
B40C0625,001,27-01-1987,165,107,732,,,,,,
B40C0625,001,31-03-1987,158,100,739,,,,,,
B40C0625,001,29-04-1987,148,90,749,,,,,,
B40C0625,001,27-05-1987,144,86,753,,,,,,
B40C0625,001,03-07-1987,139,81,758,,,,,,
B40C0625,001,30-07-1987,122,64,775,,,,,,
B40C0625,001,27-08-1987,140,82,757,,,,,,
B40C0625,001,28-09-1987,140,82,757,,,,,,
B40C0625,001,30-10-1987,164,106,733,,,,,,
B40C0625,001,30-11-1987,153,95,744,,,,,,
B40C0625,001,28-12-1987,160,102,737,,,,,,
B40C0625,001,27-01-1988,150,92,747,,,,,,
B40C0625,001,25-02-1988,161,103,736,,,,,,
B40C0625,001,25-03-1988,129,71,768,,,,,,
B40C0625,001,28-04-1988,147,89,750,,,,,,
B40C0625,001,29-07-1988,92,34,805,,,,,,
B40C0625,001,26-08-1988,123,65,774,,,,,,
B40C0625,001,26-09-1988,91,33,806,,,,,,
B40C0625,001,28-10-1988,152,94,745,,,,,,
B40C0625,001,29-11-1988,200,142,697,,,,,,
B40C0625,001,28-12-1988,158,100,739,,,,,,
B40C0625,001,27-01-1989,182,124,715,,,,,,
B40C0625,001,27-02-1989,190,132,707,,,,,,
B40C0625,001,28-03-1989,167,109,730,,,,,,
B40C0625,001,28-04-1989,154,96,743,,,,,,
B40C0625,001,01-06-1989,147,89,750,,,,,,
B40C0625,001,28-06-1989,168,110,729,,,,,,
B40C0625,001,27-07-1989,162,104,735,,,,,,
B40C0625,001,28-08-1989,168,110,729,,,,,,
B40C0625,001,29-09-1989,174,116,723,,,,,,
B40C0625,001,27-10-1989,188,130,709,,,,,,
B40C0625,001,28-11-1989,220,162,677,,,,,,
B40C0625,001,28-12-1989,167,109,730,,,,,,
B40C0625,001,30-01-1990,172,114,725,,,,,,
B40C0625,001,28-02-1990,130,72,767,,,,,,
B40C0625,001,28-03-1990,160,102,737,,,,,,
B40C0625,001,28-04-1990,162,104,735,,,,,,
B40C0625,001,28-05-1990,170,112,727,,,,,,
B40C0625,001,28-06-1990,152,94,745,,,,,,
B40C0625,001,30-07-1990,173,115,724,,,,,,
B40C0625,001,28-08-1990,190,132,707,,,,,,
