Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,02-11-2021,,,,,,,,
Gegevens beschikbaar:,28-08-1997,tot:,31-12-2019,,,,,,,,
Datum: ,02-11-2021,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B40B0413,004,40BP0413,191508,441185,1080,16-12-1993,16-12-1993,03-11-2017,1131,51,-6020,-6220
B40B0413,004,40BP0413,191508,441185,1080,16-12-1993,03-11-2017,31-12-2019,1137,57,-6020,-6220


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B40B0413,004,28-08-1997,369,318,762,,,,,,
B40B0413,004,26-09-1997,382,331,749,,,,,,
B40B0413,004,27-10-1997,384,333,747,,,,,,
B40B0413,004,27-11-1997,401,350,730,,,,,,
B40B0413,004,29-12-1997,322,271,809,,,,,,
B40B0413,004,26-01-1998,336,285,795,,,,,,
B40B0413,004,26-02-1998,359,308,772,,,,,,
B40B0413,004,19-03-1998,333,282,798,,CONTROLE,,,,
B40B0413,004,27-03-1998,336,285,795,,,,,,
B40B0413,004,27-04-1998,337,286,794,,,,,,
B40B0413,004,27-05-1998,354,303,777,,,,,,
B40B0413,004,12-06-1998,354,303,777,,,,,,
B40B0413,004,29-06-1998,361,310,770,,,,,,
B40B0413,004,29-07-1998,361,310,770,,,,,,
B40B0413,004,27-08-1998,392,341,739,,,,,,
B40B0413,004,28-09-1998,326,275,805,,,,,,
B40B0413,004,27-10-1998,315,264,816,,,,,,
B40B0413,004,27-11-1998,290,239,841,,,,,,
B40B0413,004,28-12-1998,290,239,841,,,,,,
B40B0413,004,28-01-1999,312,261,819,,,,,,
B40B0413,004,25-02-1999,235,184,896,,,,,,
B40B0413,004,26-03-1999,264,213,867,,,,,,
B40B0413,004,28-04-1999,292,241,839,,,,,,
B40B0413,004,27-05-1999,274,223,857,,,,,,
B40B0413,004,28-06-1999,322,271,809,,,,,,
B40B0413,004,27-07-1999,345,294,786,,,,,,
B40B0413,004,30-08-1999,351,300,780,,,,,,
B40B0413,004,27-09-1999,398,347,733,,,,,,
B40B0413,004,28-10-1999,376,325,755,,,,,,
B40B0413,004,25-11-1999,362,311,769,,,,,,
B40B0413,004,27-12-1999,271,220,860,,,,,,
B40B0413,004,27-01-2000,330,279,801,,,,,,
B40B0413,004,27-03-2000,275,224,856,,,,,,
B40B0413,004,27-04-2000,333,282,798,,,,,,
B40B0413,004,26-05-2000,333,282,798,,,,,,
B40B0413,004,27-06-2000,352,301,779,,,,,,
B40B0413,004,28-08-2000,355,304,776,,,,,,
B40B0413,004,29-09-2000,329,278,802,,,,,,
B40B0413,004,13-10-2000,350,299,781,,,,,,
B40B0413,004,27-10-2000,365,314,766,,,,,,
B40B0413,004,13-11-2000,349,298,782,,,,,,
B40B0413,004,27-11-2000,323,272,808,,,,,,
B40B0413,004,14-12-2000,320,269,811,,,,,,
B40B0413,004,12-01-2001,271,220,860,,,,,,
B40B0413,004,26-01-2001,302,251,829,,,,,,
B40B0413,004,14-02-2001,269,218,862,,,,,,
B40B0413,004,27-02-2001,314,263,817,,,,,,
B40B0413,004,14-03-2001,271,220,860,,,,,,
B40B0413,004,28-03-2001,176,125,955,,,,,,
B40B0413,004,18-04-2001,237,186,894,,,,,,
B40B0413,004,01-05-2001,250,199,881,,,,,,
B40B0413,004,14-05-2001,294,243,837,,,,,,
B40B0413,004,28-05-2001,221,170,910,,,,,,
B40B0413,004,14-06-2001,314,263,817,,,,,,
B40B0413,004,27-06-2001,310,259,821,,,,,,
B40B0413,004,13-07-2001,351,300,780,,,,,,
B40B0413,004,30-07-2001,335,284,796,,,,,,
B40B0413,004,14-08-2001,334,283,797,,,,,,
B40B0413,004,27-08-2001,350,299,781,,,,,,
B40B0413,004,13-09-2001,332,281,799,,,,,,
B40B0413,004,29-09-2001,307,256,824,,,,,,
B40B0413,004,17-10-2001,343,292,788,,,,,,
B40B0413,004,25-10-2001,247,196,884,,,,,,
B40B0413,004,14-11-2001,317,266,814,,,,,,
B40B0413,004,28-11-2001,328,277,803,,,,,,
B40B0413,004,13-12-2001,309,258,822,,,,,,
B40B0413,004,27-12-2001,312,261,819,,,,,,
B40B0413,004,14-01-2002,330,279,801,,,,,,
B40B0413,004,28-01-2002,268,217,863,,,,,,
B40B0413,004,14-02-2002,252,201,879,,,,,,
B40B0413,004,26-02-2002,203,152,928,,,,,,
B40B0413,004,13-03-2002,265,214,866,,,,,,
B40B0413,004,28-03-2002,222,171,909,,,,,,
B40B0413,004,12-04-2002,317,266,814,,,,,,
B40B0413,004,13-04-2002,317,266,814,,,,,,
B40B0413,004,14-04-2002,320,269,811,,,,,,
B40B0413,004,15-04-2002,324,273,807,,,,,,
B40B0413,004,16-04-2002,322,271,809,,,,,,
B40B0413,004,17-04-2002,323,272,808,,,,,,
B40B0413,004,18-04-2002,324,273,807,,,,,,
B40B0413,004,19-04-2002,324,273,807,,,,,,
B40B0413,004,20-04-2002,324,273,807,,,,,,
B40B0413,004,21-04-2002,327,276,804,,,,,,
B40B0413,004,22-04-2002,329,278,802,,,,,,
B40B0413,004,23-04-2002,329,278,802,,,,,,
B40B0413,004,24-04-2002,328,277,803,,,,,,
B40B0413,004,25-04-2002,325,274,806,,,,,,
B40B0413,004,26-04-2002,323,272,808,,,,,,
B40B0413,004,27-04-2002,320,269,811,,,,,,
B40B0413,004,28-04-2002,317,266,814,,,,,,
B40B0413,004,29-04-2002,319,268,812,,,,,,
B40B0413,004,30-04-2002,319,268,812,,,,,,
B40B0413,004,01-05-2002,325,274,806,,,,,,
B40B0413,004,02-05-2002,327,276,804,,,,,,
B40B0413,004,03-05-2002,328,277,803,,,,,,
B40B0413,004,04-05-2002,328,277,803,,,,,,
B40B0413,004,05-05-2002,324,273,807,,,,,,
B40B0413,004,06-05-2002,326,275,805,,,,,,
B40B0413,004,07-05-2002,310,259,821,,,,,,
B40B0413,004,08-05-2002,301,250,830,,,,,,
B40B0413,004,09-05-2002,278,227,853,,,,,,
B40B0413,004,10-05-2002,279,228,852,,,,,,
B40B0413,004,11-05-2002,283,232,848,,,,,,
B40B0413,004,12-05-2002,286,235,845,,,,,,
B40B0413,004,13-05-2002,294,243,837,,,,,,
B40B0413,004,14-05-2002,288,237,843,,,,,,
B40B0413,004,15-05-2002,292,241,839,,,,,,
B40B0413,004,16-05-2002,291,240,840,,,,,,
B40B0413,004,17-05-2002,294,243,837,,,,,,
B40B0413,004,18-05-2002,295,244,836,,,,,,
B40B0413,004,19-05-2002,300,249,831,,,,,,
B40B0413,004,20-05-2002,303,252,828,,,,,,
B40B0413,004,21-05-2002,319,268,812,,,,,,
B40B0413,004,22-05-2002,315,264,816,,,,,,
B40B0413,004,23-05-2002,319,268,812,,,,,,
B40B0413,004,24-05-2002,320,269,811,,,,,,
B40B0413,004,25-05-2002,318,267,813,,,,,,
B40B0413,004,26-05-2002,319,268,812,,,,,,
B40B0413,004,27-05-2002,325,274,806,,,,,,
B40B0413,004,28-05-2002,327,276,804,,,,,,
B40B0413,004,29-05-2002,332,281,799,,,,,,
B40B0413,004,30-05-2002,330,279,801,,,,,,
B40B0413,004,31-05-2002,335,284,796,,,,,,
B40B0413,004,01-06-2002,329,278,802,,,,,,
B40B0413,004,02-06-2002,327,276,804,,,,,,
B40B0413,004,03-06-2002,331,280,800,,,,,,
B40B0413,004,04-06-2002,342,291,789,,,,,,
B40B0413,004,05-06-2002,336,285,795,,,,,,
B40B0413,004,06-06-2002,338,287,793,,,,,,
B40B0413,004,07-06-2002,332,281,799,,,,,,
B40B0413,004,08-06-2002,332,281,799,,,,,,
B40B0413,004,09-06-2002,341,290,790,,,,,,
B40B0413,004,10-06-2002,333,282,798,,,,,,
B40B0413,004,11-06-2002,339,288,792,,,,,,
B40B0413,004,12-06-2002,330,279,801,,,,,,
B40B0413,004,13-06-2002,338,287,793,,,,,,
B40B0413,004,14-06-2002,329,278,802,,,,,,
B40B0413,004,15-06-2002,329,278,802,,,,,,
B40B0413,004,16-06-2002,328,277,803,,,,,,
B40B0413,004,17-06-2002,340,289,791,,,,,,
B40B0413,004,18-06-2002,339,288,792,,,,,,
B40B0413,004,19-06-2002,339,288,792,,,,,,
B40B0413,004,20-06-2002,345,294,786,,,,,,
B40B0413,004,21-06-2002,344,293,787,,,,,,
B40B0413,004,22-06-2002,344,293,787,,,,,,
B40B0413,004,23-06-2002,342,291,789,,,,,,
B40B0413,004,24-06-2002,352,301,779,,,,,,
B40B0413,004,25-06-2002,351,300,780,,,,,,
B40B0413,004,26-06-2002,347,296,784,,,,,,
B40B0413,004,27-06-2002,346,295,785,,,,,,
B40B0413,004,28-06-2002,347,296,784,,,,,,
B40B0413,004,29-06-2002,349,298,782,,,,,,
B40B0413,004,30-06-2002,350,299,781,,,,,,
B40B0413,004,01-07-2002,351,300,780,,,,,,
B40B0413,004,02-07-2002,355,304,776,,,,,,
B40B0413,004,03-07-2002,353,302,778,,,,,,
B40B0413,004,04-07-2002,347,296,784,,,,,,
B40B0413,004,05-07-2002,341,290,790,,,,,,
B40B0413,004,06-07-2002,348,297,783,,,,,,
B40B0413,004,07-07-2002,339,288,792,,,,,,
B40B0413,004,08-07-2002,341,290,790,,,,,,
B40B0413,004,09-07-2002,349,298,782,,,,,,
B40B0413,004,10-07-2002,344,293,787,,,,,,
B40B0413,004,11-07-2002,356,305,775,,,,,,
B40B0413,004,12-07-2002,356,305,775,,,,,,
B40B0413,004,13-07-2002,345,294,786,,,,,,
B40B0413,004,14-07-2002,345,294,786,,,,,,
B40B0413,004,15-07-2002,351,300,780,,,,,,
B40B0413,004,16-07-2002,348,297,783,,,,,,
B40B0413,004,17-07-2002,351,300,780,,,,,,
B40B0413,004,18-07-2002,353,302,778,,,,,,
B40B0413,004,19-07-2002,357,306,774,,,,,,
B40B0413,004,20-07-2002,354,303,777,,,,,,
B40B0413,004,21-07-2002,346,295,785,,,,,,
B40B0413,004,22-07-2002,343,292,788,,,,,,
B40B0413,004,23-07-2002,344,293,787,,,,,,
B40B0413,004,24-07-2002,343,292,788,,,,,,
B40B0413,004,25-07-2002,341,290,790,,,,,,
B40B0413,004,26-07-2002,339,288,792,,,,,,
B40B0413,004,27-07-2002,340,289,791,,,,,,
B40B0413,004,28-07-2002,343,292,788,,,,,,
B40B0413,004,29-07-2002,345,294,786,,,,,,
B40B0413,004,30-07-2002,348,297,783,,,,,,
B40B0413,004,31-07-2002,356,305,775,,,,,,
B40B0413,004,01-08-2002,352,301,779,,,,,,
B40B0413,004,02-08-2002,349,298,782,,,,,,
B40B0413,004,03-08-2002,348,297,783,,,,,,
B40B0413,004,04-08-2002,347,296,784,,,,,,
B40B0413,004,05-08-2002,349,298,782,,,,,,
B40B0413,004,06-08-2002,351,300,780,,,,,,
B40B0413,004,07-08-2002,350,299,781,,,,,,
B40B0413,004,08-08-2002,356,305,775,,,,,,
B40B0413,004,09-08-2002,356,305,775,,,,,,
B40B0413,004,10-08-2002,355,304,776,,,,,,
B40B0413,004,11-08-2002,354,303,777,,,,,,
B40B0413,004,12-08-2002,360,309,771,,,,,,
B40B0413,004,13-08-2002,359,308,772,,,,,,
B40B0413,004,14-08-2002,361,310,770,,,,,,
B40B0413,004,15-08-2002,351,300,780,,,,,,
B40B0413,004,16-08-2002,348,297,783,,,,,,
