Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,02-11-2021,,,,,,,,
Gegevens beschikbaar:,14-05-1974,tot:,14-07-1997,,,,,,,,
Datum: ,02-11-2021,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B40B0305,007,40BP0305,190330,439615,912,01-11-1973,01-11-1973,15-11-1993,886,-26,-14274,-14474
B40B0305,007,40BP0305,190330,439615,912,01-11-1973,15-11-1993,20-11-1995,887,-25,-14274,-14474
B40B0305,007,40BP0305,190330,439615,912,01-11-1973,20-11-1995,28-07-1997,960,48,-14274,-14474


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B40B0305,007,14-05-1974,84,110,802,,,,,,
B40B0305,007,28-05-1974,102,128,784,,,,,,
B40B0305,007,28-06-1974,113,139,773,,,,,,
B40B0305,007,17-07-1974,104,130,782,,,,,,
B40B0305,007,29-07-1974,111,137,775,,,,,,
B40B0305,007,14-08-1974,103,129,783,,,,,,
B40B0305,007,29-08-1974,110,136,776,,,,,,
B40B0305,007,13-09-1974,107,133,779,,,,,,
B40B0305,007,28-09-1974,100,126,786,,,,,,
B40B0305,007,14-10-1974,97,123,789,,,,,,
B40B0305,007,28-10-1974,70,96,816,,,,,,
B40B0305,007,14-11-1974,69,95,817,,,,,,
B40B0305,007,28-11-1974,38,64,848,,,,,,
B40B0305,007,13-12-1974,10,36,876,,,,,,
B40B0305,007,30-12-1974,10,36,876,,,,,,
B40B0305,007,14-01-1975,10,36,876,,,,,,
B40B0305,007,28-01-1975,22,48,864,,,,,,
B40B0305,007,17-02-1975,20,46,866,,,,,,
B40B0305,007,27-02-1975,42,68,844,,,,,,
B40B0305,007,14-03-1975,47,73,839,,,,,,
B40B0305,007,27-03-1975,45,71,841,,,,,,
B40B0305,007,17-04-1975,48,74,838,,,,,,
B40B0305,007,28-04-1975,36,62,850,,,,,,
B40B0305,007,14-05-1975,49,75,837,,,,,,
B40B0305,007,28-05-1975,60,86,826,,,,,,
B40B0305,007,14-06-1975,68,94,818,,,,,,
B40B0305,007,14-07-1975,58,84,828,,,,,,
B40B0305,007,28-07-1975,53,79,833,,,,,,
B40B0305,007,14-08-1975,66,92,820,,,,,,
B40B0305,007,28-08-1975,76,102,810,,,,,,
B40B0305,007,15-09-1975,76,102,810,,,,,,
B40B0305,007,29-09-1975,70,96,816,,,,,,
B40B0305,007,15-10-1975,78,104,808,,,,,,
B40B0305,007,28-10-1975,85,111,801,,,,,,
B40B0305,007,14-11-1975,85,111,801,,,,,,
B40B0305,007,27-11-1975,67,93,819,,,,,,
B40B0305,007,15-12-1975,80,106,806,,,,,,
B40B0305,007,29-12-1975,72,98,814,,,,,,
B40B0305,007,14-01-1976,70,96,816,,,,,,
B40B0305,007,28-01-1976,70,96,816,,,,,,
B40B0305,007,16-02-1976,45,71,841,,,,,,
B40B0305,007,27-02-1976,56,82,830,,,,,,
B40B0305,007,15-03-1976,72,98,814,,,,,,
B40B0305,007,29-03-1976,70,96,816,,,,,,
B40B0305,007,14-04-1976,78,104,808,,,,,,
B40B0305,007,28-04-1976,95,121,791,,,,,,
B40B0305,007,14-05-1976,100,126,786,,,,,,
B40B0305,007,28-05-1976,94,120,792,,,,,,
B40B0305,007,15-06-1976,96,122,790,,,,,,
B40B0305,007,28-06-1976,105,131,781,,,,,,
B40B0305,007,29-07-1976,126,152,760,,,,,,
B40B0305,007,16-08-1976,122,148,764,,,,,,
B40B0305,007,27-08-1976,133,159,753,,,,,,
B40B0305,007,14-09-1976,127,153,759,,,,,,
B40B0305,007,28-09-1976,124,150,762,,,,,,
B40B0305,007,14-10-1976,118,144,768,,,,,,
B40B0305,007,28-10-1976,120,146,766,,,,,,
B40B0305,007,15-11-1976,109,135,777,,,,,,
B40B0305,007,29-11-1976,108,134,778,,,,,,
B40B0305,007,15-12-1976,104,130,782,,,,,,
B40B0305,007,28-12-1976,102,128,784,,,,,,
B40B0305,007,14-01-1977,101,127,785,,,,,,
B40B0305,007,28-01-1977,100,126,786,,,,,,
B40B0305,007,14-02-1977,41,67,845,,,,,,
B40B0305,007,14-03-1977,40,66,846,,,,,,
B40B0305,007,28-03-1977,48,74,838,,,,,,
B40B0305,007,14-04-1977,43,69,843,,,,,,
B40B0305,007,28-04-1977,50,76,836,,,,,,
B40B0305,007,28-05-1977,59,85,827,,,,,,
B40B0305,007,14-07-1977,70,96,816,,,,,,
B40B0305,007,28-07-1977,68,94,818,,,,,,
B40B0305,007,18-08-1977,67,93,819,,,,,,
B40B0305,007,29-08-1977,55,81,831,,,,,,
B40B0305,007,29-09-1977,59,85,827,,,,,,
B40B0305,007,14-02-1978,53,79,833,,,,,,
B40B0305,007,14-06-1978,47,73,839,,,,,,
B40B0305,007,28-06-1978,55,81,831,,,,,,
B40B0305,007,14-07-1978,44,70,842,,,,,,
B40B0305,007,28-07-1978,60,86,826,,,,,,
B40B0305,007,14-08-1978,60,86,826,,,,,,
B40B0305,007,28-08-1978,69,95,817,,,,,,
B40B0305,007,14-09-1978,75,101,811,,,,,,
B40B0305,007,28-09-1978,80,106,806,,,,,,
B40B0305,007,13-10-1978,75,101,811,,,,,,
B40B0305,007,27-10-1978,78,104,808,,,,,,
B40B0305,007,16-11-1978,88,114,798,,,,,,
