Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,02-11-2021,,,,,,,,
Gegevens beschikbaar:,28-07-1986,tot:,31-12-2019,,,,,,,,
Datum: ,02-11-2021,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B40C0474,001,40CP0474,187020,428730,1217,16-10-1985,16-10-1985,12-03-2018,1268,44,367,-433
B40C0474,001,40CP0474,187020,428730,1224,28-07-1986,12-03-2018,31-12-2019,1269,45,367,-433


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B40C0474,001,28-07-1986,553,509,715,,,,,,
B40C0474,001,14-08-1986,588,544,680,,,,,,
B40C0474,001,28-08-1986,552,508,716,,,,,,
B40C0474,001,15-09-1986,540,496,728,,,,,,
B40C0474,001,29-09-1986,548,504,720,,,,,,
B40C0474,001,14-10-1986,592,548,676,,,,,,
B40C0474,001,28-10-1986,579,535,689,,,,,,
B40C0474,001,14-11-1986,545,501,723,,,,,,
B40C0474,001,28-11-1986,548,504,720,,,,,,
B40C0474,001,15-12-1986,552,508,716,,,,,,
B40C0474,001,28-12-1986,536,492,732,,,,,,
B40C0474,001,14-01-1987,443,399,825,,,,,,
B40C0474,001,28-01-1987,513,469,755,,,,,,
B40C0474,001,13-02-1987,501,457,767,,,,,,
B40C0474,001,27-02-1987,512,468,756,,,,,,
B40C0474,001,13-03-1987,455,411,813,,,,,,
B40C0474,001,26-03-1987,450,406,818,,,,,,
B40C0474,001,14-04-1987,458,414,810,,,,,,
B40C0474,001,28-04-1987,461,417,807,,,,,,
B40C0474,001,14-05-1987,457,413,811,,,,,,
B40C0474,001,29-05-1987,449,405,819,,,,,,
B40C0474,001,15-06-1987,438,394,830,,,,,,
B40C0474,001,29-06-1987,406,362,862,,,,,,
B40C0474,001,14-07-1987,412,368,856,,,,,,
B40C0474,001,28-07-1987,416,372,852,,,,,,
B40C0474,001,14-08-1987,411,367,857,,,,,,
B40C0474,001,28-08-1987,408,364,860,,,,,,
B40C0474,001,14-09-1987,415,371,853,,,,,,
B40C0474,001,28-09-1987,445,401,823,,,,,,
B40C0474,001,14-10-1987,440,396,828,,,,,,
B40C0474,001,28-10-1987,514,470,754,,,,,,
B40C0474,001,13-11-1987,519,475,749,,,,,,
B40C0474,001,27-11-1987,514,470,754,,,,,,
B40C0474,001,14-12-1987,510,466,758,,,,,,
B40C0474,001,28-12-1987,507,463,761,,,,,,
B40C0474,001,14-01-1988,505,461,763,,,,,,
B40C0474,001,28-01-1988,492,448,776,,,,,,
B40C0474,001,15-02-1988,490,446,778,,,,,,
B40C0474,001,29-02-1988,485,441,783,,,,,,
B40C0474,001,14-03-1988,489,445,779,,,,,,
B40C0474,001,14-04-1988,345,301,923,,,,,,
B40C0474,001,28-04-1988,349,305,919,,,,,,
