Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,02-11-2021,,,,,,,,
Gegevens beschikbaar:,08-01-2013,tot:,11-12-2017,,,,,,,,
Datum: ,02-11-2021,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B40B1744,001,,190709,443377,1296,08-01-2013,08-01-2013,12-12-2017,1289,-7,689,589


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B40B1744,001,08-01-2013,656,663,633,,,,,,
B40B1744,001,09-01-2013,657,664,632,,,,,,
B40B1744,001,10-01-2013,657,664,632,,,,,,
B40B1744,001,11-01-2013,655,662,634,,,,,,
B40B1744,001,12-01-2013,656,663,633,,,,,,
B40B1744,001,13-01-2013,656,663,633,,,,,,
B40B1744,001,14-01-2013,655,662,634,,,,,,
B40B1744,001,15-01-2013,661,668,628,,,,,,
B40B1744,001,16-01-2013,657,664,632,,,,,,
B40B1744,001,17-01-2013,654,661,635,,,,,,
B40B1744,001,18-01-2013,655,662,634,,,,,,
B40B1744,001,19-01-2013,658,665,631,,,,,,
B40B1744,001,20-01-2013,655,662,634,,,,,,
B40B1744,001,21-01-2013,656,663,633,,,,,,
B40B1744,001,22-01-2013,656,663,633,,,,,,
B40B1744,001,23-01-2013,656,663,633,,,,,,
B40B1744,001,24-01-2013,657,664,632,,,,,,
B40B1744,001,25-01-2013,653,660,636,,,,,,
B40B1744,001,26-01-2013,662,669,627,,,,,,
B40B1744,001,27-01-2013,659,666,630,,,,,,
B40B1744,001,28-01-2013,654,661,635,,,,,,
B40B1744,001,29-01-2013,660,667,629,,,,,,
B40B1744,001,30-01-2013,661,668,628,,,,,,
B40B1744,001,31-01-2013,651,658,638,,,,,,
B40B1744,001,01-02-2013,651,658,638,,,,,,
B40B1744,001,02-02-2013,662,669,627,,,,,,
B40B1744,001,03-02-2013,649,656,640,,,,,,
B40B1744,001,04-02-2013,660,667,629,,,,,,
B40B1744,001,05-02-2013,661,668,628,,,,,,
B40B1744,001,06-02-2013,261,268,1028,,,,,,
B40B1744,001,07-02-2013,235,242,1054,,,,,,
B40B1744,001,08-02-2013,224,231,1065,,,,,,
B40B1744,001,09-02-2013,217,224,1072,,,,,,
B40B1744,001,10-02-2013,216,223,1073,,,,,,
B40B1744,001,11-02-2013,225,232,1064,,,,,,
B40B1744,001,12-02-2013,239,246,1050,,,,,,
B40B1744,001,13-02-2013,256,263,1033,,,,,,
B40B1744,001,14-02-2013,271,278,1018,,,,,,
B40B1744,001,15-02-2013,294,301,995,,,,,,
B40B1744,001,16-02-2013,312,319,977,,,,,,
B40B1744,001,17-02-2013,326,333,963,,,,,,
B40B1744,001,18-02-2013,340,347,949,,,,,,
B40B1744,001,19-02-2013,352,359,937,,,,,,
B40B1744,001,20-02-2013,359,366,930,,,,,,
B40B1744,001,21-02-2013,366,373,923,,,,,,
B40B1744,001,22-02-2013,373,380,916,,,,,,
B40B1744,001,23-02-2013,377,384,912,,,,,,
B40B1744,001,24-02-2013,386,393,903,,,,,,
B40B1744,001,25-02-2013,392,399,897,,,,,,
B40B1744,001,26-02-2013,398,405,891,,,,,,
B40B1744,001,27-02-2013,402,409,887,,,,,,
B40B1744,001,28-02-2013,402,409,887,,,,,,
B40B1744,001,01-03-2013,403,410,886,,,,,,
B40B1744,001,02-03-2013,402,409,887,,,,,,
B40B1744,001,03-03-2013,405,412,884,,,,,,
B40B1744,001,04-03-2013,403,410,886,,,,,,
B40B1744,001,05-03-2013,403,410,886,,,,,,
B40B1744,001,06-03-2013,403,410,886,,,,,,
B40B1744,001,07-03-2013,404,411,885,,,,,,
B40B1744,001,08-03-2013,405,412,884,,,,,,
B40B1744,001,09-03-2013,406,413,883,,,,,,
B40B1744,001,10-03-2013,408,415,881,,,,,,
B40B1744,001,11-03-2013,409,416,880,,,,,,
B40B1744,001,12-03-2013,413,420,876,,,,,,
B40B1744,001,13-03-2013,417,424,872,,,,,,
B40B1744,001,14-03-2013,421,428,868,,,,,,
B40B1744,001,15-03-2013,417,424,872,,,,,,
B40B1744,001,16-03-2013,413,420,876,,,,,,
B40B1744,001,17-03-2013,412,419,877,,,,,,
B40B1744,001,18-03-2013,417,424,872,,,,,,
B40B1744,001,19-03-2013,422,429,867,,,,,,
B40B1744,001,20-03-2013,425,432,864,,,,,,
B40B1744,001,21-03-2013,421,428,868,,,,,,
B40B1744,001,22-03-2013,412,419,877,,,,,,
B40B1744,001,23-03-2013,406,413,883,,,,,,
B40B1744,001,24-03-2013,397,404,892,,,,,,
B40B1744,001,25-03-2013,397,404,892,,,,,,
B40B1744,001,26-03-2013,404,411,885,,,,,,
B40B1744,001,27-03-2013,411,418,878,,,,,,
B40B1744,001,28-03-2013,418,425,871,,,,,,
B40B1744,001,29-03-2013,424,431,865,,,,,,
B40B1744,001,30-03-2013,425,432,864,,,,,,
B40B1744,001,31-03-2013,422,429,867,,,,,,
B40B1744,001,01-04-2013,420,427,869,,,,,,
