Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,02-11-2021,,,,,,,,
Gegevens beschikbaar:,08-01-2008,tot:,31-12-2019,,,,,,,,
Datum: ,02-11-2021,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B40A2159,002,,184820,441730,897,08-01-2008,08-01-2008,31-12-2019,942,45,157,-43


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B40A2159,002,08-01-2008,165,120,777,,,,,,
B40A2159,002,09-01-2008,166,121,776,,,,,,
B40A2159,002,10-01-2008,173,128,769,,,,,,
B40A2159,002,11-01-2008,173,128,769,,,,,,
B40A2159,002,12-01-2008,171,126,771,,,,,,
B40A2159,002,13-01-2008,175,130,767,,,,,,
B40A2159,002,14-01-2008,176,131,766,,,,,,
B40A2159,002,15-01-2008,177,132,765,,,,,,
B40A2159,002,16-01-2008,176,131,766,,,,,,
B40A2159,002,17-01-2008,176,131,766,,,,,,
B40A2159,002,18-01-2008,178,133,764,,,,,,
B40A2159,002,19-01-2008,160,115,782,,,,,,
B40A2159,002,20-01-2008,143,98,799,,,,,,
B40A2159,002,21-01-2008,139,94,803,,,,,,
B40A2159,002,22-01-2008,133,88,809,,,,,,
B40A2159,002,23-01-2008,143,98,799,,,,,,
B40A2159,002,24-01-2008,148,103,794,,,,,,
B40A2159,002,25-01-2008,152,107,790,,,,,,
B40A2159,002,26-01-2008,159,114,783,,,,,,
B40A2159,002,27-01-2008,163,118,779,,,,,,
B40A2159,002,28-01-2008,169,124,773,,,,,,
B40A2159,002,29-01-2008,175,130,767,,,,,,
B40A2159,002,30-01-2008,178,133,764,,,,,,
B40A2159,002,31-01-2008,178,133,764,,,,,,
B40A2159,002,01-02-2008,181,136,761,,,,,,
B40A2159,002,02-02-2008,174,129,768,,,,,,
B40A2159,002,03-02-2008,170,125,772,,,,,,
B40A2159,002,04-02-2008,172,127,770,,,,,,
B40A2159,002,05-02-2008,172,127,770,,,,,,
B40A2159,002,06-02-2008,172,127,770,,,,,,
B40A2159,002,07-02-2008,173,128,769,,,,,,
B40A2159,002,08-02-2008,173,128,769,,,,,,
B40A2159,002,09-02-2008,169,124,773,,,,,,
B40A2159,002,10-02-2008,169,124,773,,,,,,
B40A2159,002,11-02-2008,171,126,771,,,,,,
B40A2159,002,12-02-2008,174,129,768,,,,,,
B40A2159,002,13-02-2008,179,134,763,,,,,,
B40A2159,002,14-02-2008,180,135,762,,,,,,
B40A2159,002,15-02-2008,181,136,761,,,,,,
B40A2159,002,16-02-2008,181,136,761,,,,,,
B40A2159,002,17-02-2008,179,134,763,,,,,,
B40A2159,002,18-02-2008,176,131,766,,,,,,
B40A2159,002,19-02-2008,180,135,762,,,,,,
B40A2159,002,20-02-2008,191,146,751,,,,,,
B40A2159,002,21-02-2008,190,145,752,,,,,,
B40A2159,002,22-02-2008,189,144,753,,,,,,
B40A2159,002,23-02-2008,196,151,746,,,,,,
B40A2159,002,24-02-2008,197,152,745,,,,,,
B40A2159,002,25-02-2008,203,158,739,,,,,,
B40A2159,002,26-02-2008,202,157,740,,,,,,
B40A2159,002,27-02-2008,206,161,736,,,,,,
B40A2159,002,28-02-2008,206,161,736,,,,,,
B40A2159,002,29-02-2008,208,163,734,,,,,,
B40A2159,002,01-03-2008,182,137,760,,,,,,
B40A2159,002,02-03-2008,182,137,760,,,,,,
B40A2159,002,03-03-2008,194,149,748,,,,,,
B40A2159,002,04-03-2008,203,158,739,,,,,,
B40A2159,002,05-03-2008,201,156,741,,,,,,
B40A2159,002,06-03-2008,184,139,758,,,,,,
B40A2159,002,07-03-2008,176,131,766,,,,,,
B40A2159,002,08-03-2008,176,131,766,,,,,,
B40A2159,002,09-03-2008,178,133,764,,,,,,
B40A2159,002,10-03-2008,180,135,762,,,,,,
B40A2159,002,11-03-2008,186,141,756,,,,,,
B40A2159,002,12-03-2008,181,136,761,,,,,,
B40A2159,002,13-03-2008,182,137,760,,,,,,
B40A2159,002,14-03-2008,184,139,758,,,,,,
B40A2159,002,15-03-2008,180,135,762,,,,,,
B40A2159,002,16-03-2008,174,129,768,,,,,,
B40A2159,002,17-03-2008,167,122,775,,,,,,
B40A2159,002,18-03-2008,167,122,775,,,,,,
B40A2159,002,19-03-2008,168,123,774,,,,,,
B40A2159,002,20-03-2008,168,123,774,,,,,,
B40A2159,002,21-03-2008,144,99,798,,,,,,
B40A2159,002,22-03-2008,153,108,789,,,,,,
B40A2159,002,23-03-2008,169,124,773,,,,,,
B40A2159,002,24-03-2008,158,113,784,,,,,,
B40A2159,002,25-03-2008,159,114,783,,,,,,
B40A2159,002,26-03-2008,159,114,783,,,,,,
B40A2159,002,27-03-2008,161,116,781,,,,,,
B40A2159,002,28-03-2008,164,119,778,,,,,,
B40A2159,002,29-03-2008,169,124,773,,,,,,
B40A2159,002,30-03-2008,169,124,773,,,,,,
B40A2159,002,31-03-2008,167,122,775,,,,,,
B40A2159,002,01-04-2008,166,121,776,,,,,,
B40A2159,002,02-04-2008,169,124,773,,,,,,
B40A2159,002,03-04-2008,172,127,770,,,,,,
B40A2159,002,04-04-2008,173,128,769,,,,,,
B40A2159,002,05-04-2008,172,127,770,,,,,,
B40A2159,002,06-04-2008,165,120,777,,,,,,
B40A2159,002,07-04-2008,167,122,775,,,,,,
B40A2159,002,08-04-2008,175,130,767,,,,,,
B40A2159,002,09-04-2008,172,127,770,,,,,,
B40A2159,002,10-04-2008,173,128,769,,,,,,
B40A2159,002,11-04-2008,174,129,768,,,,,,
B40A2159,002,12-04-2008,175,130,767,,,,,,
B40A2159,002,13-04-2008,176,131,766,,,,,,
B40A2159,002,14-04-2008,175,130,767,,,,,,
B40A2159,002,15-04-2008,170,125,772,,,,,,
