Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,02-11-2021,,,,,,,,
Gegevens beschikbaar:,14-10-1985,tot:,14-10-1991,,,,,,,,
Datum: ,02-11-2021,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B40C0560,001,40CL0008,187930,433490,,,27-09-1985,28-10-1991,,-3,,


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B40C0560,001,14-10-1985,180,183,,,,,,,
B40C0560,001,13-12-1985,177,180,,,,,,,
B40C0560,001,28-04-1986,135,138,,,,,,,
B40C0560,001,28-08-1986,175,178,,,,,,,
B40C0560,001,14-10-1986,175,178,,,,,,,
B40C0560,001,15-12-1986,145,148,,,,,,,
B40C0560,001,28-04-1987,138,141,,,,,,,
B40C0560,001,28-08-1987,128,131,,,,,,,
B40C0560,001,14-10-1987,124,127,,,,,,,
B40C0560,001,06-01-1988,114,117,,,,,,,
B40C0560,001,14-01-1988,126,129,,,,,,,
B40C0560,001,28-04-1988,120,123,,,,,,,
B40C0560,001,29-08-1988,161,164,,,,,,,
B40C0560,001,14-10-1988,145,148,,,,,,,
B40C0560,001,14-12-1988,146,149,,,,,,,
B40C0560,001,28-04-1989,138,141,,,,,,,
B40C0560,001,28-08-1989,177,180,,,,,,,
B40C0560,001,13-10-1989,194,197,,,,,,,
B40C0560,001,14-12-1989,210,213,,,,,,,
B40C0560,001,27-04-1990,154,157,,,,,,,
B40C0560,001,28-08-1990,200,203,,,,,,,
B40C0560,001,15-10-1990,204,207,,,,,,,
B40C0560,001,28-12-1990,139,142,,,,,,,
B40C0560,001,29-04-1991,175,178,,,,,,,
B40C0560,001,28-08-1991,200,203,,,,,,,
B40C0560,001,14-10-1991,203,206,,,,,,,
